model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,all_held_out_predictions,0.9031928480204343,0.8974014242799824,0.9531981694338016,888,45,11
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260715,0.7916666666666667,0.7822141560798548,1.0,24,1,1
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260717,0.7083333333333334,0.6812144212523719,1.0,24,1,1
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260720,1.0,1.0,1.0,24,1,1
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260721,1.0,1.0,1.0,36,2,1
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260723,0.8958333333333333,0.8795986622073578,0.9645061728395061,108,6,1
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260724,0.96875,0.9687194525904204,0.9995659722222223,96,4,1
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260727,0.9333333333333333,0.9142857142857144,0.9518518518518518,96,5,1
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260728,0.9236111111111112,0.9221397159541489,0.953125,120,6,1
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260729,0.8680555555555556,0.8693284936479129,0.9539930555555556,120,6,1
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260730,0.8576388888888888,0.8472850678733032,0.9210069444444444,120,6,1
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260731,0.9186507936507937,0.8962182561522132,0.9537037037037037,120,7,1
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,all_held_out_predictions,0.9138888888888889,0.893952176777191,0.941166453810132,888,45,11
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260715,1.0,1.0,1.0,24,1,1
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260717,0.5,0.3333333333333333,0.5,24,1,1
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260720,1.0,1.0,1.0,24,1,1
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260721,1.0,1.0,1.0,36,2,1
