cycle_name,experiment_id,state,image_count,feature_000,feature_001,feature_002,feature_003,feature_004,feature_005,feature_006,feature_007,feature_008,feature_009,feature_010,feature_011,feature_012,feature_013,feature_014,feature_015,feature_016,feature_017,feature_018,feature_019,feature_020,feature_021,feature_022,feature_023,feature_024,feature_025,feature_026,feature_027,feature_028,feature_029,feature_030,feature_031,feature_032,feature_033,feature_034,feature_035,feature_036,feature_037,feature_038,feature_039,centroid_distance,camera_group
frost_cycle_000073,exp_20260731,fixed_time,80,0.22984509,0.049615603,0.23952445,-0.15331617,-0.60999537,0.55655366,-0.21583156,-0.1370468,0.22136107,-0.059134193,0.46225986,-0.24033174,-0.527413,0.52798575,-0.105673686,-0.1332587,0.18049067,0.073351555,0.049003333,-0.17878385,-0.390695,0.42380008,0.54295295,-0.12815191,0.07776096,0.11681239,0.094306715,0.3473494,0.29915243,0.25712648,-0.29188457,0.04311285,-0.22708675,-0.026768457,0.0,0.0,0.0,0.0,0.0,0.0,0.06412735,top_pair
frost_cycle_000075,exp_20260731,optimum,80,-0.2619688,-0.11954012,-0.12626031,-0.19139473,0.39084768,-0.14502615,-0.32160157,-0.1370468,-0.2389719,-0.014269391,-0.238049,-0.1387444,0.19511928,0.020033443,-0.23418829,-0.1332587,-0.16193908,-0.32909036,0.5066966,-0.19323683,-0.06614772,0.30669278,-0.55326885,-0.12815191,0.09174074,0.10327127,0.15081789,-0.35251555,-0.28338063,-0.1908168,0.49775964,0.2084516,0.21558504,0.05661417,0.0,0.0,0.0,0.0,0.0,0.0,0.28253302,top_pair
frost_cycle_000075,exp_20260731,fixed_time,80,-0.08495955,-0.03698204,0.18598102,-0.18470983,-0.38770416,0.46224365,-0.30510536,-0.1370468,-0.048985828,-0.0063437284,0.21459194,-0.22590652,-0.46009064,0.55785424,-0.25025263,-0.1332587,-0.05890165,-0.18705201,0.56203794,-0.1645691,-0.42843446,0.56178844,-0.4246438,-0.12815191,0.12773155,0.1496843,0.12603046,0.0151759265,0.007732707,0.028854733,0.2845859,0.22294894,-0.024276054,0.035570867,0.0,0.0,0.0,0.0,0.0,0.0,0.19197692,top_pair
frost_cycle_000076,exp_20260731,optimum,80,-0.08298795,0.11740408,0.081184745,-0.25722834,-0.29950348,0.3902889,-0.29637203,-0.1370468,-0.111927465,0.12103276,0.13335839,-0.238729,-0.36398485,0.4646326,-0.29473847,-0.1332587,-0.061780937,0.07388157,0.29701447,-0.17671911,-0.33487454,0.47054982,-0.54551256,-0.12815191,0.10806723,0.1317417,0.08333679,0.07509886,0.030396199,0.046228234,-0.06922885,0.11872618,-0.16920118,0.008613842,0.0,0.0,0.0,0.0,0.0,0.0,0.12431903,top_pair
frost_cycle_000076,exp_20260731,fixed_time,80,-0.0021508217,-0.020823885,0.19986796,-0.11523759,-0.5471471,0.5585176,-0.29152018,-0.1370468,-0.0053215385,-0.016816903,0.35514492,-0.21850309,-0.54668254,0.59711534,-0.24778119,-0.1332587,0.001563418,-0.11143955,0.51919967,-0.1270072,-0.4640503,0.53877926,-0.45890075,-0.12815191,0.10966176,0.12004223,0.059322286,0.12847726,0.07704862,0.090771854,0.055377495,0.33827886,-0.17900594,0.023784125,0.0,0.0,0.0,0.0,0.0,0.0,0.16391192,top_pair
frost_cycle_000060,exp_20260729,optimum,78,0.012292411,0.11772164,0.51163584,0.5071927,-0.32007796,-0.2954821,-0.21065204,-0.02332495,0.2534367,0.5027252,0.49072868,0.33147925,0.2881984,-0.44551286,-0.22433083,-0.055432204,0.3637711,0.604816,0.17741251,-0.039466456,0.42959628,-0.4123992,-0.42791665,-0.060959168,-0.55284536,-0.52265036,-0.41339213,0.5183337,0.50474215,0.33744538,1.0460279,0.4376998,0.9564918,0.6783976,0.0,0.0,-0.005456041,0.005456041,0.0,0.0,0.4277087,left_pair
frost_cycle_000060,exp_20260729,fixed_time,78,0.4417634,0.7494399,0.3514792,-0.20556736,0.1629432,-0.037272103,-0.29474378,-0.02332495,0.6567171,0.83605754,0.4409836,-0.36937863,0.2609625,-0.07970709,-0.22433083,-0.055432204,1.1810426,0.82295674,0.06665434,-0.57071245,0.281877,-0.116093926,-0.45674685,-0.060959168,-0.14534344,-0.11978615,-0.0666195,0.5394009,0.62697077,0.45527145,0.18993379,-0.013380375,0.2598072,0.37736467,0.0,0.0,-0.0054561184,0.0054561184,0.0,0.0,0.32984632,left_pair
frost_cycle_000061,exp_20260729,optimum,45,0.4863011,1.3176947,0.23026696,-0.8457149,0.48171312,0.2673087,-0.3033246,-0.023324948,0.68168217,1.4975823,-0.1303636,-0.8938747,-0.26138118,0.5497245,-0.22433084,-0.055432178,0.83910364,1.2038711,-0.43231732,-0.81064487,-0.34691852,0.53523713,-0.45674697,-0.06095915,0.32705432,0.3691533,0.29675934,0.56172556,0.7725035,0.5447122,-0.976514,-0.7804101,-0.7149882,0.010290907,0.0,0.0,-0.027678607,0.027678607,0.0,0.0,0.5641813,left_pair
frost_cycle_000061,exp_20260729,fixed_time,45,0.44494468,1.0645082,0.31533945,-0.43280202,0.360744,0.0006306433,-0.29737526,-0.023324948,0.6317522,1.0564626,0.3223157,-0.5706891,0.15535289,0.09186764,-0.22433084,-0.055432178,1.229891,0.9934046,-0.058062654,-0.6557275,0.11067208,0.0618312,-0.45674697,-0.06095915,-0.035094876,0.029214175,0.069200635,0.58813107,0.7476081,0.57179666,-0.378655,-0.24769942,-0.14522617,0.29317823,0.0,0.0,0.016766489,-0.016766489,0.0,0.0,0.36091816,left_pair
frost_cycle_000063,exp_20260730,optimum,80,-0.46489757,-0.13210979,-0.13197055,-0.0026135892,0.43149632,-0.24276257,-0.30332464,-0.023324948,-0.46670693,-0.106186196,0.12565121,-0.16310643,0.6163584,-0.31278878,-0.22433083,-0.055432193,-0.2844096,-0.29222912,0.26890466,-0.37063503,0.41312996,-0.24444108,-0.24720342,-0.060959153,-0.21188883,-0.18712859,-0.091777645,-0.31468385,-0.16681233,-0.122744896,1.834615,0.8196781,1.2032769,0.017040268,0.0,0.0,-0.0054560425,0.0054560425,0.0,0.0,0.4459905,left_pair
frost_cycle_000063,exp_20260730,fixed_time,80,-0.46489757,0.5525896,-0.22299966,-0.50585115,0.41129914,0.1619486,-0.30332464,-0.023324948,-0.46670693,0.2097694,0.21371946,-0.6477651,0.07891247,0.2510533,-0.22433083,-0.055432193,-0.2844096,-0.06314178,0.26678124,-0.63372004,-0.062901065,0.23904212,-0.4030834,-0.060959153,0.15850104,0.25766024,0.2690559,0.012598455,0.23583722,0.16706374,0.6946779,0.23768517,0.42163324,-0.22628975,0.0,0.0,-0.0054561137,0.0054561137,0.0,0.0,0.27167934,left_pair
frost_cycle_000064,exp_20260730,optimum,80,-0.46489757,-0.32869464,0.04828869,0.37715825,-0.25368306,-0.10828555,-0.30332464,-0.023324948,-0.46670693,-0.1491426,0.017161345,0.23963809,0.23266149,-0.26253796,-0.22433083,-0.055432193,-0.2844096,-0.27582914,0.16425216,-0.024355711,0.35549617,-0.29652032,-0.19353983,-0.060959153,-0.2062823,-0.19072826,-0.22697158,0.2597835,0.21334581,-0.008748358,0.28207558,0.2986707,0.38430563,0.096573375,0.0,0.0,-0.0054560425,0.0054560425,0.0,0.0,0.24010566,left_pair
frost_cycle_000064,exp_20260730,fixed_time,80,-0.18574144,0.24827878,-0.13304995,-0.13519892,-0.029751465,0.1579967,-0.30332464,-0.023324948,-0.24202213,0.16342172,0.0943806,-0.31004888,0.07374247,0.09513366,-0.22433083,-0.055432193,-0.2569324,-0.010354328,0.1775991,-0.39016134,0.16899064,-0.03331069,-0.41841584,-0.060959153,0.06898752,0.12323514,0.06136936,0.3091293,0.41551003,0.21247375,-0.0654789,0.031017328,0.068886586,-0.09391262,0.0,0.0,-0.0054561137,0.0054561137,0.0,0.0,0.15620272,left_pair
frost_cycle_000065,exp_20260730,optimum,80,0.11667772,0.5678052,0.05008767,-0.35980958,0.0557657,0.23542114,-0.289102,-0.023324948,0.15117629,0.4697686,0.044602882,-0.4293274,-0.074542806,0.23682435,-0.22433083,-0.055432193,-0.2844096,0.37658283,-0.09874399,-0.36938867,0.06980778,0.050150108,-0.35708603,-0.060959153,0.1957149,0.17347941,0.0762702,0.37155586,0.42971334,0.24472351,-0.6784644,-0.40632057,-0.5050877,-0.33296996,0.0,0.0,-0.0054560425,0.0054560425,0.0,0.0,0.23314017,left_pair
frost_cycle_000065,exp_20260730,fixed_time,80,0.16320372,0.50146544,-0.0060409484,-0.3624243,0.12797843,0.20313776,-0.30332464,-0.023324948,0.29160428,0.34372553,0.17734343,-0.4922719,0.100767516,0.1504769,-0.22433083,-0.055432193,-0.09206903,0.23820797,0.08963045,-0.46504655,0.22918248,-0.06794089,-0.41586047,-0.060959153,0.16024995,0.15464644,0.06234362,0.342192,0.42685747,0.2375414,-0.599038,-0.3188618,-0.3908481,-0.2763733,0.0,0.0,-0.0054561137,0.0054561137,0.0,0.0,0.16028218,left_pair
frost_cycle_000066,exp_20260730,optimum,80,-0.37184554,-0.43824655,0.15874693,0.5962206,-0.35755402,-0.2356936,-0.2874287,-0.023324948,-0.29819334,-0.1960555,0.16426083,0.49967957,0.35116044,-0.48806724,-0.21239154,-0.055432193,-0.2844096,-0.08261676,0.05019616,0.21058245,0.53331983,-0.52791303,-0.045326132,-0.060959153,-0.35015002,-0.41214532,-0.45354757,0.31929582,0.17825708,-0.06444507,0.25843653,0.28105348,0.3526307,0.14637718,0.0,0.0,-0.0054560425,0.0054560425,0.0,0.0,0.32127187,left_pair
frost_cycle_000066,exp_20260730,fixed_time,80,0.18646672,0.3140099,0.036055494,-0.2121737,0.00078465044,0.17091005,-0.30332464,-0.023324948,0.37586105,0.25159535,0.20223227,-0.35222748,0.16404136,0.04023976,-0.22433083,-0.055432193,-0.03711457,0.215658,0.0774968,-0.34851223,0.33522546,-0.1938689,-0.456747,-0.060959153,0.10431558,0.05640515,-0.06727385,0.3590458,0.39895254,0.17395303,-0.35375392,-0.22808298,-0.2222996,-0.20649454,0.0,0.0,-0.0054561137,0.0054561137,0.0,0.0,0.14393598,left_pair
frost_cycle_000067,exp_20260730,optimum,80,-0.25553045,-0.37616712,0.18177405,0.5268987,-0.30097002,-0.22445011,-0.28073567,-0.023324948,-0.21393652,-0.07736019,0.10235777,0.4542675,0.40691432,-0.5008359,-0.19249272,-0.055432193,-0.2844096,0.059345603,-0.03777256,0.25316626,0.57983,-0.5808631,-0.08621268,-0.060959153,-0.34248948,-0.4273302,-0.475969,0.31523675,0.17860976,-0.048808616,0.3076834,0.2830971,0.42326865,0.1349496,0.0,0.0,-0.0054560425,0.0054560425,0.0,0.0,0.31752467,left_pair
frost_cycle_000067,exp_20260730,fixed_time,80,0.27951878,0.3207048,0.07131579,-0.25190464,0.097843036,0.13189168,-0.30332464,-0.023324948,0.4320323,0.32902995,0.15564546,-0.36142486,0.23101647,0.002607836,-0.22433083,-0.055432193,-0.092069015,0.32584542,0.0040884553,-0.3322057,0.3931306,-0.24819212,-0.456747,-0.060959153,0.08312089,0.03501363,-0.0847344,0.33416733,0.396647,0.17907736,-0.23564272,-0.16887859,-0.11523201,-0.16822119,0.0,0.0,-0.0054561137,0.0054561137,0.0,0.0,0.16026914,left_pair
frost_cycle_000068,exp_20260730,optimum,32,0.4656229,1.1770355,-0.000823888,-0.892957,0.27472812,0.500952,-0.3033246,-0.023324946,0.6567171,0.9875063,-0.09244536,-0.90737545,-0.35980397,0.64886564,-0.22433083,-0.05543219,-0.28440964,0.80810744,-0.3232159,-0.65854335,-0.34484926,0.4995892,-0.45674694,-0.060959153,0.48436648,0.46683994,0.3880136,0.39094135,0.5571716,0.4880185,-0.997712,-0.77269304,-0.8882035,-0.5253018,0.0,0.0,-0.00545606,0.00545606,0.0,0.0,0.49134868,left_pair
frost_cycle_000068,exp_20260730,fixed_time,32,0.40746537,0.5486336,0.03335703,-0.35311335,0.12184712,0.18827629,-0.3033246,-0.023324946,0.6567171,0.4505513,0.21148585,-0.47499093,0.15264386,0.09683737,-0.22433083,-0.05543219,0.26513493,0.39426404,0.027142286,-0.4562701,0.29941273,-0.13465597,-0.45674694,-0.060959153,0.1248181,0.105103984,0.008498874,0.40228432,0.4839915,0.29309824,-0.4131662,-0.25992572,-0.29731357,-0.22395447,0.0,0.0,-0.00545606,0.00545606,0.0,0.0,0.17696732,left_pair
