experiment_id,evaluable,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,model,camera_group,modality,regret_threshold
exp_20260729,True,0.9305555555555556,0.9155167558434244,0.9186921296296297,0.0015251326206994994,120,6,rbf_svm,top_close,rgb,0.01
exp_20260730,True,0.8819444444444444,0.8578496272036792,0.90625,0.0030190336602429323,120,6,rbf_svm,top_close,rgb,0.01
exp_20260731,True,0.9166666666666667,0.8731501057082452,0.9272486772486773,0.0013338400587424581,120,7,rbf_svm,top_close,rgb,0.01
exp_20260715,True,0.7916666666666667,0.7822141560798548,1.0,0.008023866262858573,24,1,hist_gradient_boosting,top_close,rgb,0.01
exp_20260717,True,0.7083333333333334,0.6812144212523719,1.0,0.010776507399733086,24,1,hist_gradient_boosting,top_close,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,hist_gradient_boosting,top_close,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,hist_gradient_boosting,top_close,rgb,0.01
exp_20260723,True,0.8958333333333333,0.8795986622073578,0.9645061728395061,0.0032386189682252157,108,6,hist_gradient_boosting,top_close,rgb,0.01
exp_20260724,True,0.96875,0.9687194525904204,0.9995659722222223,0.00036094083390294894,96,4,hist_gradient_boosting,top_close,rgb,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9518518518518518,0.000788254753615264,96,5,hist_gradient_boosting,top_close,rgb,0.01
exp_20260728,True,0.9236111111111112,0.9221397159541489,0.953125,0.0013923990278071395,120,6,hist_gradient_boosting,top_close,rgb,0.01
exp_20260729,True,0.8680555555555556,0.8693284936479129,0.9539930555555556,0.0025240633672415583,120,6,hist_gradient_boosting,top_close,rgb,0.01
exp_20260730,True,0.8576388888888888,0.8472850678733032,0.9210069444444444,0.0028571363119925175,120,6,hist_gradient_boosting,top_close,rgb,0.01
exp_20260731,True,0.9186507936507937,0.8962182561522132,0.9537037037037037,0.0012080463794946882,120,7,hist_gradient_boosting,top_close,rgb,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,24,1,mlp,top_close,rgb,0.01
exp_20260717,True,0.5,0.3333333333333333,0.5,0.039759992458746195,24,1,mlp,top_close,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,mlp,top_close,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,mlp,top_close,rgb,0.01
exp_20260723,True,0.9027777777777778,0.8647584973166369,0.9903549382716049,0.003132909547947144,108,6,mlp,top_close,rgb,0.01
exp_20260724,True,0.9270833333333333,0.926693574779099,1.0,0.0017899340328483367,96,4,mlp,top_close,rgb,0.01
exp_20260727,True,0.9083333333333333,0.8832762241627059,0.9777777777777777,0.0011531329232175437,96,5,mlp,top_close,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.96875,0.00039383945755213875,120,6,mlp,top_close,rgb,0.01
exp_20260729,True,0.9305555555555556,0.9155167558434244,0.9496527777777778,0.0015251326206994994,120,6,mlp,top_close,rgb,0.01
exp_20260730,True,0.875,0.849624060150376,0.9004629629629629,0.0032933618439082908,120,6,mlp,top_close,rgb,0.01
exp_20260731,True,0.9047619047619048,0.8564593301435407,0.9470899470899472,0.0016679608091597056,120,7,mlp,top_close,rgb,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,24,1,logistic,left,rgb,0.01
exp_20260717,True,0.875,0.873015873015873,1.0,0.0043960626342758055,24,1,logistic,left,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,logistic,left,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,logistic,left,rgb,0.01
exp_20260723,True,0.9513888888888888,0.9301487572761711,0.9810956790123457,0.0007607025477214211,108,6,logistic,left,rgb,0.01
exp_20260724,True,1.0,1.0,1.0,0.0,96,4,logistic,left,rgb,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9578703703703704,0.000788254753615264,96,5,logistic,left,rgb,0.01
exp_20260728,True,0.9340277777777778,0.9310146593848807,0.9537037037037037,0.0007086729802673513,120,6,logistic,left,rgb,0.01
exp_20260729,True,0.9444444444444444,0.9321266968325792,0.943287037037037,0.0013012106282449855,120,6,logistic,left,rgb,0.01
exp_20260730,True,0.8888888888888888,0.8660714285714286,0.9267939814814815,0.0027711139859976355,120,6,logistic,left,rgb,0.01
exp_20260731,True,0.8650793650793651,0.8480531813865146,0.9037698412698413,0.0018600846137574165,120,7,logistic,left,rgb,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,1.0,0.0004217722526858483,24,1,random_forest,left,rgb,0.01
exp_20260717,True,0.9166666666666667,0.916083916083916,1.0,0.0045791460171302695,24,1,random_forest,left,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,random_forest,left,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,random_forest,left,rgb,0.01
exp_20260723,True,0.9513888888888888,0.9301487572761711,0.9822530864197532,0.000852216929589414,108,6,random_forest,left,rgb,0.01
exp_20260724,True,1.0,1.0,1.0,0.0,96,4,random_forest,left,rgb,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9145833333333333,0.000788254753615264,96,5,random_forest,left,rgb,0.01
exp_20260728,True,0.9548611111111112,0.9485714285714286,0.955005787037037,0.0004989653551730573,120,6,random_forest,left,rgb,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.9269386574074074,0.0014014032742416832,120,6,random_forest,left,rgb,0.01
exp_20260730,True,0.8888888888888888,0.8660714285714286,0.8940972222222222,0.0027711139859976355,120,6,random_forest,left,rgb,0.01
exp_20260731,True,0.8511904761904762,0.8654128202916056,0.9723875661375662,0.00469640471608946,120,7,random_forest,left,rgb,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,1.0,0.0004217722526858483,24,1,rbf_svm,left,rgb,0.01
exp_20260717,True,0.9583333333333333,0.9582608695652174,1.0,0.0033159111054257943,24,1,rbf_svm,left,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,rbf_svm,left,rgb,0.01
