model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
logistic,front,single_view,rgb,0.01,1.0,0.6626226395189366,macro_f1,0.9516988914103798,0.9248040779098385,0.9777711532535299,11,11
logistic,front,single_view,rgb,0.01,1.0,0.6626226395189366,auroc,0.9711692821067821,0.9491935726310726,0.9910037878787878,11,11
logistic,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_misclassification_regret,0.0006538082688817169,0.00023369824475180396,0.0011723298416762382,11,11
random_forest,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.956511544011544,0.9325392316017314,0.9802502705627707,11,11
random_forest,front,single_view,rgb,0.01,1.0,0.6626226395189366,macro_f1,0.947018595181185,0.9182070514043048,0.9756509879670667,11,11
random_forest,front,single_view,rgb,0.01,1.0,0.6626226395189366,auroc,0.9729632635882637,0.9538700246512747,0.9909722034331409,11,11
random_forest,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_misclassification_regret,0.000994308910696593,0.0003334101567050187,0.0017689900765011613,11,11
rbf_svm,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9653138528138527,0.9420454545454546,0.9867424242424243,11,11
rbf_svm,front,single_view,rgb,0.01,1.0,0.6626226395189366,macro_f1,0.9547274908679942,0.9251716063217095,0.982517732038232,11,11
rbf_svm,front,single_view,rgb,0.01,1.0,0.6626226395189366,auroc,0.9671198593073593,0.9388406573172199,0.9904626623376622,11,11
rbf_svm,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_misclassification_regret,0.0006222413980992319,0.00018318685536814364,0.0011570865400180274,11,11
hist_gradient_boosting,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9533306085167788,0.9252848872463234,0.9798430735930735,11,11
hist_gradient_boosting,front,single_view,rgb,0.01,1.0,0.6626226395189366,macro_f1,0.9468175092193853,0.9153665885969308,0.9767381275889448,11,11
hist_gradient_boosting,front,single_view,rgb,0.01,1.0,0.6626226395189366,auroc,0.9750288099246432,0.9563643691378066,0.9919926572270322,11,11
hist_gradient_boosting,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_misclassification_regret,0.0008863601644403054,0.0003617990969778114,0.0014616490525978091,11,11
mlp,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9613365800865801,0.9384911616161615,0.9828282828282829,11,11
mlp,front,single_view,rgb,0.01,1.0,0.6626226395189366,macro_f1,0.9496934082236229,0.9207766578676847,0.9773082459475688,11,11
mlp,front,single_view,rgb,0.01,1.0,0.6626226395189366,auroc,0.9708491161616162,0.9476516466750842,0.9912615740740741,11,11
mlp,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_misclassification_regret,0.000731253844573257,0.00027497845749804503,0.0012626793850321672,11,11
logistic,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_accuracy,0.8672519841269841,0.7522063492063492,0.9538509424603175,10,10
logistic,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,macro_f1,0.8355924151021477,0.6893365635703407,0.9440378618428543,10,10
logistic,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,auroc,0.9699123677248677,0.954356605489418,0.9863186177248677,10,10
logistic,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_misclassification_regret,0.005795430088992603,0.0007580490857345926,0.01321411173433298,10,10
random_forest,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_accuracy,0.9072222222222223,0.8395833333333333,0.9586111111111111,10,10
random_forest,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,macro_f1,0.8966194683375572,0.8229693891948157,0.9522128617277319,10,10
