camera_group,representation,model,training_experiment_count,metric,estimate,lower,upper,held_out_experiment_count
all,handcrafted,mlp,10,fit_predict_seconds,0.2682347196334211,0.2467797765762291,0.2957003365309819,11
all,handcrafted,mlp,10,training_cycle_count,40.90909090909091,39.63636363636363,42.18409090909088,11
all,handcrafted,mlp,10,training_image_count,4808.181818181818,4667.15,4954.561363636364,11
all,handcrafted,random_forest,2,balanced_accuracy,0.8957300056990687,0.8548938686255892,0.930427062608407,11
all,handcrafted,random_forest,2,macro_f1,0.8883708469766046,0.8421699751251567,0.9267575674960267,11
all,handcrafted,random_forest,2,auroc,0.9700062447257192,0.9519071830820663,0.9869040666127763,11
all,handcrafted,random_forest,2,balanced_misclassification_regret,0.003007118395198004,0.0015779925160872767,0.005075842979254343,11
all,handcrafted,random_forest,2,fit_predict_seconds,0.1716489495743052,0.1568177199505127,0.18649792393389913,11
all,handcrafted,random_forest,2,training_cycle_count,8.424242424242424,7.666666666666666,9.272727272727273,11
all,handcrafted,random_forest,2,training_image_count,979.6969696969696,893.6621212121211,1073.7409090909089,11
all,handcrafted,random_forest,4,balanced_accuracy,0.9209282642920816,0.8990116822971861,0.9442765736106691,11
all,handcrafted,random_forest,4,macro_f1,0.9153331095241846,0.8901139536069071,0.9415378459387665,11
all,handcrafted,random_forest,4,auroc,0.9671381820061484,0.9500835929589566,0.9833128890523906,11
all,handcrafted,random_forest,4,balanced_misclassification_regret,0.0020771108550507768,0.001282815427610036,0.002920035761674038,11
all,handcrafted,random_forest,4,fit_predict_seconds,0.2129723965137435,0.2052317649279289,0.2212345079354374,11
all,handcrafted,random_forest,4,training_cycle_count,14.454545454545457,13.272727272727273,15.81818181818182,11
all,handcrafted,random_forest,4,training_image_count,1707.848484848485,1580.7477272727274,1851.6681818181821,11
all,handcrafted,random_forest,6,balanced_accuracy,0.9284496601899718,0.908577153862867,0.9490969671462096,11
all,handcrafted,random_forest,6,macro_f1,0.9226611176466009,0.8989029278757604,0.946199654291653,11
all,handcrafted,random_forest,6,auroc,0.9692347422629276,0.9532322799719425,0.9842564162429865,11
all,handcrafted,random_forest,6,balanced_misclassification_regret,0.0018342970919596664,0.0011659976035573228,0.0024724636652679677,11
all,handcrafted,random_forest,6,fit_predict_seconds,0.2292242199111956,0.21119293613283482,0.24586063890497875,11
all,handcrafted,random_forest,6,training_cycle_count,23.727272727272727,22.484090909090906,24.90909090909091,11
all,handcrafted,random_forest,6,training_image_count,2785.060606060606,2653.108333333333,2906.062121212121,11
all,handcrafted,random_forest,8,balanced_accuracy,0.9409053247270077,0.9197309525480875,0.961575367435218,11
all,handcrafted,random_forest,8,macro_f1,0.9333139905852371,0.9084091163523352,0.9574585562366116,11
all,handcrafted,random_forest,8,auroc,0.9695083119539917,0.9533114568738835,0.9845037989884777,11
all,handcrafted,random_forest,8,balanced_misclassification_regret,0.0014483224658183606,0.0007646292759732347,0.0021553981828030437,11
all,handcrafted,random_forest,8,fit_predict_seconds,0.2560989559084798,0.23130073778904092,0.2826130240162125,11
all,handcrafted,random_forest,8,training_cycle_count,31.90909090909091,30.60606060606061,33.36363636363637,11
all,handcrafted,random_forest,8,training_image_count,3744.3939393939395,3590.8750000000005,3917.3681818181817,11
all,handcrafted,random_forest,10,balanced_accuracy,0.9472035747429627,0.9259623150343224,0.9675850815249865,11
all,handcrafted,random_forest,10,macro_f1,0.9377101041434174,0.9125122664102079,0.9621294778067633,11
all,handcrafted,random_forest,10,auroc,0.9685755639850331,0.953458538373685,0.9835492354632694,11
all,handcrafted,random_forest,10,balanced_misclassification_regret,0.001154308838836395,0.0005551287890409566,0.0018453547858533921,11
all,handcrafted,random_forest,10,fit_predict_seconds,0.28090643554671924,0.24804697465766698,0.31294210560293073,11
all,handcrafted,random_forest,10,training_cycle_count,40.90909090909091,39.63636363636363,42.18409090909088,11
all,handcrafted,random_forest,10,training_image_count,4808.181818181818,4667.15,4954.561363636364,11
all,handcrafted,rbf_svm,2,balanced_accuracy,0.9432948348936671,0.9199216836548816,0.9650217994337313,11
all,handcrafted,rbf_svm,2,macro_f1,0.9340358009671328,0.9060732276277225,0.9606863990817505,11
all,handcrafted,rbf_svm,2,auroc,0.9706958787718297,0.9515542612809729,0.9884010352841206,11
all,handcrafted,rbf_svm,2,balanced_misclassification_regret,0.0011457328155282545,0.0006364647271412415,0.0017093360941849256,11
