camera_group,representation,model,held_out_experiment,repeat,training_experiment_count,training_cycle_count,training_image_count,test_image_count,fit_predict_seconds,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret
top,handcrafted,rbf_svm,exp_20260717,2,8,31,624,24,0.008439208002528176,0.5,0.3333333333333333,1.0,0.022815574027545905
top,handcrafted,hist_gradient_boosting,exp_20260717,2,8,31,624,24,5.113094250002177,0.5,0.3333333333333333,0.9583333333333333,0.022815574027545905
top,handcrafted,mlp,exp_20260717,2,8,31,624,24,0.061832500010496005,0.5,0.3333333333333333,1.0,0.039759992458746195
top,handcrafted,logistic,exp_20260720,0,2,12,228,24,0.012037208012770861,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,0,2,12,228,24,0.1995994999888353,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,0,2,12,228,24,0.0060718749882653356,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,0,2,12,228,24,1.4522593339788727,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260720,0,2,12,228,24,0.06352337502175942,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,0,4,17,348,24,0.014454667019890621,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,0,4,17,348,24,0.20901854199473746,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,0,4,17,348,24,0.00927045801654458,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,0,4,17,348,24,2.9728377500141505,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260720,0,4,17,348,24,0.0529439160018228,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,0,6,28,564,24,0.013829041010467336,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,0,6,28,564,24,0.2397959170048125,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,0,6,28,564,24,0.0084296659915708,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,0,6,28,564,24,4.779578457993921,0.9166666666666667,0.916083916083916,1.0,0.0023614098111525207
top,handcrafted,mlp,exp_20260720,0,6,28,564,24,0.06591808301163837,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,0,8,37,720,24,0.013699125003768131,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,0,8,37,720,24,0.22758333300589584,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,0,8,37,720,24,0.016863583005033433,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,0,8,37,720,24,5.441296000004513,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260720,0,8,37,720,24,0.06492416700348258,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,0,10,44,864,24,0.013644292019307613,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,0,10,44,864,24,0.2181309170264285,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,0,10,44,864,24,0.011845958011690527,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,0,10,44,864,24,6.899643332988489,0.9583333333333333,0.9582608695652174,1.0,0.00043294883634766414
top,handcrafted,mlp,exp_20260720,0,10,44,864,24,0.07529224999598227,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,1,2,7,132,24,0.011856625002110377,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,1,2,7,132,24,0.19530012499308214,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,1,2,7,132,24,0.009538125013932586,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,1,2,7,132,24,0.7389948339841794,0.875,0.873015873015873,1.0,0.0027943586475001844
top,handcrafted,mlp,exp_20260720,1,2,7,132,24,0.05076816602377221,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,1,4,12,252,24,0.015139958006329834,1.0,1.0,1.0,0.0
