cycle_name,cycle_stage,method,mode,n,metric_status,noise_ratio,noise_reduction,spike_ratio,spike_reduction,water_bias_kw,water_rmse_offset_kw,energy_error_pct,shortfall_area_error_pct,transient_retention,lag_seconds
frost_cycle_000020,defrost_preparation,wavelet_offline,offline,2,insufficient_data,,,1.0,0.0,-2.658730199999991,1.670149639999992,0.0,0.0,1.0,
frost_cycle_000020,defrost_preparation,wavelet_monotonic_offline,constrained,2,insufficient_data,,,1.0,0.0,-2.658730199999991,1.670149639999992,0.0,0.0,1.0,
frost_cycle_000020,defrost_preparation,nearly_isotonic_offline,constrained,2,insufficient_data,,,1.0,0.0,-2.658730199999991,1.670149639999992,0.0,0.0,1.0,
frost_cycle_000020,defrost_preparation,robust_monotone_offline,constrained,2,insufficient_data,,,1.0,0.0,-2.658730199999991,1.670149639999992,0.0,0.0,1.0,
frost_cycle_000020,defrost,median_centered_60s,offline,1,insufficient_data,,,,,2.522170299999978,0.0,,,,
frost_cycle_000020,defrost,ewma_tau30s,online,1,insufficient_data,,,,,2.522170299999978,0.0,,,,
frost_cycle_000020,defrost,median30s_ewma30s,online,1,insufficient_data,,,,,2.522170299999978,0.0,,,,
frost_cycle_000020,defrost,savgol_70s,offline,1,insufficient_data,,,,,2.522170299999978,0.0,,,,
frost_cycle_000020,defrost,adaptive_offline,offline,1,insufficient_data,,,,,2.522170299999978,0.0,,,,
frost_cycle_000020,defrost,wavelet_offline,offline,1,insufficient_data,,,,,2.522170299999978,0.0,,,,
frost_cycle_000020,defrost,wavelet_monotonic_offline,constrained,1,insufficient_data,,,,,2.522170299999978,0.0,,,,
frost_cycle_000020,defrost,nearly_isotonic_offline,constrained,1,insufficient_data,,,,,2.522170299999978,0.0,,,,
frost_cycle_000020,defrost,robust_monotone_offline,constrained,1,insufficient_data,,,,,2.522170299999978,0.0,,,,
frost_cycle_000021,recovery,median_centered_60s,offline,19,available,0.5792079207920793,0.4207920792079207,0.09595643217225115,0.9040435678277489,1.9826209800000063,2.319293269737505,2.0969205414514134,5.634425721993793,0.11138844515441983,-30.0
frost_cycle_000021,recovery,ewma_tau30s,online,19,available,1.639542046067168,-0.6395420460671679,0.3668516262865406,0.6331483737134593,2.343884143859456,3.6514010694882737,11.62817530126837,43.97736706102393,0.6031095741340722,-30.0
frost_cycle_000021,recovery,median30s_ewma30s,online,19,available,1.7820278711817532,-0.7820278711817532,0.2652426635767277,0.7347573364232722,2.4927039789474135,3.7434190433188173,15.461657568841341,51.59829507015814,0.56847577840628,-30.0
frost_cycle_000021,recovery,savgol_70s,offline,19,available,1.1712635549268862,-0.17126355492688616,0.5598231706195539,0.4401768293804461,1.9667253885714455,3.27176798805597,0.7297830896520571,2.606611615502165,0.8039898067853309,10.0
frost_cycle_000021,recovery,adaptive_offline,offline,19,available,0.11372866103311877,0.8862713389668813,0.013884020326052848,0.9861159796739472,2.1132245555846296,2.1673082060162248,0.4408043892700312,38.3000526315611,0.03665170508286619,-30.0
frost_cycle_000021,recovery,wavelet_offline,offline,19,available,0.7608616289751976,0.2391383710248024,1.042155530773638,-0.042155530773638095,1.9598333816809541,3.440602360470953,0.08885094705968333,1.5457933964716535,0.7846124918247708,0.0
frost_cycle_000021,recovery,wavelet_monotonic_offline,constrained,19,available,0.7608616289751976,0.2391383710248024,1.042155530773638,-0.042155530773638095,1.9598333816809541,3.440602360470953,0.08885094705968333,1.5457933964716535,0.7846124918247708,0.0
frost_cycle_000021,recovery,nearly_isotonic_offline,constrained,19,available,0.7608616289751976,0.2391383710248024,1.042155530773638,-0.042155530773638095,1.9598333816809541,3.440602360470953,0.08885094705968333,1.5457933964716535,0.7846124918247708,0.0
frost_cycle_000021,recovery,robust_monotone_offline,constrained,19,available,0.7608616289751976,0.2391383710248024,1.042155530773638,-0.042155530773638095,1.9598333816809541,3.440602360470953,0.08885094705968333,1.5457933964716535,0.7846124918247708,0.0
frost_cycle_000021,frost_development,median_centered_60s,offline,977,available,0.5555555555555775,0.44444444444442255,0.3794916739702021,0.6205083260297979,-0.4548213900000011,0.6201869205481197,0.08999594095486309,0.20783760707534177,0.3257142857142952,0.0
frost_cycle_000021,frost_development,ewma_tau30s,online,977,available,0.8091306541505952,0.19086934584940485,0.248195128353334,0.751804871646666,-0.4400611579398652,0.605342211939432,0.1511422675237036,0.4640136724693714,0.4096756091547129,10.0
frost_cycle_000021,frost_development,median30s_ewma30s,online,977,available,0.7425168876530165,0.2574831123469835,0.21628859425177702,0.783711405748223,-0.43681599767550705,0.6080814488074333,0.18848716391531606,0.55142375624681,0.33906074420779203,20.0
frost_cycle_000021,frost_development,savgol_70s,offline,977,available,1.0317460317466929,-0.03174603174669288,0.3391309489030792,0.6608690510969208,-0.4536239911111082,0.6150434128984601,0.004881196581383144,0.009297771358978711,0.5832955404383982,0.0
frost_cycle_000021,frost_development,adaptive_offline,offline,977,available,0.5851688201261693,0.41483117987383067,0.10420414578395733,0.8957958542160427,-0.4493395341022972,0.6106997392635483,0.026454529887907082,0.03081505672485456,0.1623377709218382,0.0
frost_cycle_000021,frost_development,wavelet_offline,offline,977,available,0.9604800685364615,0.039519931463538494,0.9071026183276006,0.09289738167239936,-0.45234496737590213,0.6160520596643939,0.00015761931052245387,0.008976321386250607,0.614321714503844,0.0
frost_cycle_000021,frost_development,wavelet_monotonic_offline,constrained,977,available,0.0,1.0,0.24877173543534462,0.7512282645646554,-0.4151708672758878,0.622531077052578,0.015648329459763348,0.22051703648896365,0.015051106682374872,0.0
frost_cycle_000021,frost_development,nearly_isotonic_offline,constrained,977,available,3.410472793064153e-06,0.9999965895272069,0.7126059012562088,0.2873940987437912,-0.4451688191842904,0.6145794813313205,0.002250188719456435,0.02805477246008918,0.31571428571430193,0.0
frost_cycle_000021,frost_development,robust_monotone_offline,constrained,977,available,0.0,1.0,0.13373510380453338,0.8662648961954666,-0.4228442121056504,0.6517853706833242,0.0331284777407365,0.117136176774441,0.08370595723513516,-10.0
frost_cycle_000021,defrost_preparation,median_centered_60s,offline,1,insufficient_data,,,,,-2.796216959999993,0.0,,,,
frost_cycle_000021,defrost_preparation,ewma_tau30s,online,1,insufficient_data,,,,,-2.796216959999993,0.0,,,,
frost_cycle_000021,defrost_preparation,median30s_ewma30s,online,1,insufficient_data,,,,,-2.796216959999993,0.0,,,,
frost_cycle_000021,defrost_preparation,savgol_70s,offline,1,insufficient_data,,,,,-2.796216959999993,0.0,,,,
frost_cycle_000021,defrost_preparation,adaptive_offline,offline,1,insufficient_data,,,,,-2.796216959999993,0.0,,,,
frost_cycle_000021,defrost_preparation,wavelet_offline,offline,1,insufficient_data,,,,,-2.796216959999993,0.0,,,,
frost_cycle_000021,defrost_preparation,wavelet_monotonic_offline,constrained,1,insufficient_data,,,,,-2.796216959999993,0.0,,,,
frost_cycle_000021,defrost_preparation,nearly_isotonic_offline,constrained,1,insufficient_data,,,,,-2.796216959999993,0.0,,,,
frost_cycle_000021,defrost_preparation,robust_monotone_offline,constrained,1,insufficient_data,,,,,-2.796216959999993,0.0,,,,
frost_cycle_000021,defrost,median_centered_60s,offline,0,insufficient_data,,,,,,,,,,
frost_cycle_000021,defrost,ewma_tau30s,online,0,insufficient_data,,,,,,,,,,
frost_cycle_000021,defrost,median30s_ewma30s,online,0,insufficient_data,,,,,,,,,,
frost_cycle_000021,defrost,savgol_70s,offline,0,insufficient_data,,,,,,,,,,
frost_cycle_000021,defrost,adaptive_offline,offline,0,insufficient_data,,,,,,,,,,
frost_cycle_000021,defrost,wavelet_offline,offline,0,insufficient_data,,,,,,,,,,
frost_cycle_000021,defrost,wavelet_monotonic_offline,constrained,0,insufficient_data,,,,,,,,,,
frost_cycle_000021,defrost,nearly_isotonic_offline,constrained,0,insufficient_data,,,,,,,,,,
frost_cycle_000021,defrost,robust_monotone_offline,constrained,0,insufficient_data,,,,,,,,,,
frost_cycle_000022,recovery,median_centered_60s,offline,18,available,0.9703703703703547,0.029629629629645327,0.07576833830563012,0.9242316616943699,2.0988930800000003,2.5190402079576617,1.6764609450087162,4.049781249865552,0.13508428657435256,-30.0
