representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
dinov2,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0038563625274092403,0.0025517637284453447,0.0053572863735289735,14,12
dinov2,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7604178728804588,0.7257660560859487,0.7924741882698224,14,12
dinov2,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7611253974087963,0.7257882932429454,0.7934449012165267,14,12
dinov2,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9060138278186286,0.8820432491626807,0.929292578557171,14,12
dinov2,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.006266752239988506,0.004222852607941771,0.008790475721601644,14,12
efficientnet,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7470909477963095,0.7064693026077474,0.7885768718796499,14,12
efficientnet,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.745726245106033,0.7066581023418068,0.7861686633406965,14,12
efficientnet,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.8834644996762423,0.8471377189927295,0.9175579742373061,14,12
efficientnet,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.006302708906327711,0.003800495043959137,0.009275428055210528,14,12
efficientnet,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8195460560918238,0.7885979302246577,0.8476669269226482,14,12
efficientnet,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8143591940617566,0.7797422057696661,0.8462551613804554,14,12
efficientnet,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9370553823025292,0.9174526426089604,0.954633340477845,14,12
efficientnet,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0021943157939936057,0.0017051121638256442,0.002735025424522731,14,12
efficientnet,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7982797207747758,0.7627069109088571,0.8372002860761533,14,12
efficientnet,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7953952920471318,0.7588635480848703,0.8345319518445613,14,12
efficientnet,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9197387215016156,0.8994094114985917,0.9406113476608865,14,12
efficientnet,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.004199454117107413,0.002134883597066772,0.0068479225479004015,14,12
efficientnet,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8187175837966388,0.7870048736798985,0.8493679963464925,14,12
efficientnet,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8145123077773223,0.7790517377555404,0.8485377745979907,14,12
efficientnet,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9366951140684613,0.9167517342112896,0.9548109003298617,14,12
efficientnet,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.002229452395860273,0.0016753940507451901,0.002837796229221395,14,12
efficientnet,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7732931109617963,0.728403808846339,0.8187719793173929,14,12
efficientnet,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7696021053881156,0.7249367977622176,0.8156912678386977,14,12
efficientnet,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9034411572548007,0.8712395423143016,0.9339042750281314,14,12
efficientnet,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.005657854656534508,0.0029099581690027426,0.009285771221335611,14,12
efficientnet,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7438365698186762,0.7080091373472189,0.7810598360130531,14,12
efficientnet,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7445308347253122,0.7102605342363345,0.780682726580778,14,12
efficientnet,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.876812212108205,0.8392163569484992,0.91210670987841,14,12
efficientnet,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0070431295978263565,0.0043058978430237215,0.010221684174193505,14,12
mobilenet_v3_small,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7599306066440529,0.728364412745392,0.7898850853408499,14,12
mobilenet_v3_small,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7580855787541353,0.7257033799169231,0.788760240424036,14,12
mobilenet_v3_small,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.8986632587625002,0.8683402447170129,0.9263304305153361,14,12
mobilenet_v3_small,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0046412979232959934,0.00335213572544372,0.006041408271642928,14,12
mobilenet_v3_small,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8296379903001706,0.7981964014633031,0.8585612833278733,14,12
mobilenet_v3_small,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.825529366082189,0.7913445252797455,0.8571593526917929,14,12
mobilenet_v3_small,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9425184596312626,0.9235328816264241,0.9593613629576109,14,12
