representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260803,0.8565966463976414,0.847922835023113,,4776,6,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260804,0.777450405158988,0.7719813745996885,,5286,9,1
handcrafted,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260805,0.8531707579672695,0.8532522020734041,,5004,6,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,all_held_out_predictions,0.8060788216959333,0.8056439816882947,0.9276885785445698,44631,62,14
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260715,0.7767198781763018,0.7781149982567307,0.9370371264489051,1521,3,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260717,0.7771990740740741,0.7775389205126598,0.9343308891522145,1656,2,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260720,,,,48,1,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260721,0.9015197262479872,0.901814701953174,0.9833909538778679,852,1,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260723,,,,1560,3,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260724,0.7413518518518519,0.7332766968145433,0.8749171835550574,2190,3,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260727,0.8092592592592593,0.8085683350728083,0.9423275401724475,4140,5,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260728,0.8383360228517126,0.8384381619841573,0.9578882573103072,4759,6,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260729,0.861263069660136,0.8600134471356324,0.9659990895080144,4811,6,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260730,0.8274505995440148,0.8274435049147834,0.9210024471489131,3540,5,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260731,0.7481153598409905,0.7446592624475722,0.8959503850370264,4488,6,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260803,0.8323123963515755,0.8162082730317769,0.9412184495215854,4776,6,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260804,0.7689260835892967,0.7644543127405412,0.9138036326468485,5286,9,1
handcrafted,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260805,0.7982970858455355,0.8011787126467539,0.9353648000507523,5004,6,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,all_held_out_predictions,0.8011759027128869,0.8003594202413652,0.914964064385766,44631,62,14
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260715,0.7777110880305368,0.7731377314118103,0.9244088653685911,1521,3,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260717,0.5895337301587301,0.5621279986052281,0.7542266803840878,1656,2,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260720,,,,48,1,1
