experiment_id,evaluable,recall_before,recall_within,recall_after,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,representation,model,camera_group,modality,regret_threshold
exp_20260715,True,0.8388489208633093,0.618925831202046,0.7264367816091954,0.7280705112248503,0.7391379247053756,0.9281683174614416,0.011952326550508879,1521,3,efficientnet,rbf_svm,all,rgb,0.01
exp_20260717,True,0.7256944444444444,0.8571428571428571,0.6354166666666666,0.7394179894179893,0.7413527806288583,0.9199704447751323,0.014730927848913692,1656,2,efficientnet,rbf_svm,all,rgb,0.01
exp_20260720,False,,,,,,,,48,1,efficientnet,rbf_svm,all,rgb,0.01
exp_20260721,True,0.8958333333333334,0.9202898550724637,0.9930555555555556,0.9363929146537843,0.9361611310421174,0.9850352986061145,0.0008642781024839515,852,1,efficientnet,rbf_svm,all,rgb,0.01
exp_20260723,False,,,,,,,,1560,3,efficientnet,rbf_svm,all,rgb,0.01
exp_20260724,True,0.9479166666666666,0.5648148148148148,0.6386666666666667,0.7171327160493828,0.6982276843906315,0.8676659762730541,0.0031644431640834325,2190,3,efficientnet,rbf_svm,all,rgb,0.01
exp_20260727,True,0.7888888888888889,0.6452380952380953,0.9888888888888889,0.8076719576719578,0.807210830780587,0.9306640517832648,0.002377350354205072,4140,5,efficientnet,rbf_svm,all,rgb,0.01
exp_20260728,True,0.9499411071849234,0.7693877551020408,0.8510370835952231,0.8567886486273958,0.8573941430812878,0.9583994224396827,0.0014636757511318078,4759,6,efficientnet,rbf_svm,all,rgb,0.01
exp_20260729,True,0.9197080291970803,0.8423611111111111,0.8951939779965258,0.885754372768239,0.8853771254680712,0.970405953694749,0.0012993145795142625,4811,6,efficientnet,rbf_svm,all,rgb,0.01
exp_20260730,True,0.8556105610561056,0.6349206349206349,0.8182579564489112,0.7695963841418839,0.768094006091129,0.900403678161272,0.002923034180489401,3540,5,efficientnet,rbf_svm,all,rgb,0.01
exp_20260731,True,0.8850574712643678,0.5158402203856749,0.7659863945578231,0.7222946954026219,0.7169180030886998,0.8564184935930895,0.003877299506987403,4488,6,efficientnet,rbf_svm,all,rgb,0.01
exp_20260803,True,0.9390547263681592,0.5914351851851852,0.9506944444444444,0.827061451999263,0.8123817968894637,0.9067135352845761,0.0015566173218882963,4776,6,efficientnet,rbf_svm,all,rgb,0.01
exp_20260804,True,0.8345896147403685,0.7728758169934641,0.775894538606403,0.7944533234467452,0.7857476678224078,0.9025841016929238,0.0031686870619902253,5286,9,efficientnet,rbf_svm,all,rgb,0.01
exp_20260805,True,0.8315972222222222,0.687984496124031,0.8645833333333334,0.7947216838931955,0.7967404105769518,0.9104353842540883,0.003015494983092542,5004,6,efficientnet,rbf_svm,all,rgb,0.01
exp_20260715,True,0.9784172661870504,0.6982097186700768,0.8758620689655172,0.8508296846075482,0.8606713096070683,0.9640925496963652,0.0015497435420198634,1521,3,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260717,True,0.8194444444444444,0.7599206349206349,0.8993055555555556,0.826223544973545,0.8270841872734459,0.9500329156868509,0.004038192590619265,1656,2,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260720,False,,,,,,,,48,1,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260721,True,0.9340277777777778,0.855072463768116,0.9895833333333334,0.9262278582930757,0.9261782129278306,0.990560687692009,0.0007298425744453155,852,1,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260723,False,,,,,,,,1560,3,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260724,True,0.984375,0.5266203703703703,0.7,0.7369984567901234,0.7107501926367883,0.8850849899985165,0.0027273856095918502,2190,3,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260727,True,0.7847222222222222,0.6507936507936508,0.9895833333333334,0.8083664021164022,0.8078462919107263,0.9497553216245346,0.002225196205438719,4140,5,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260728,True,0.9552414605418139,0.7564625850340136,0.8378378378378378,0.8498472944712218,0.8503566884645082,0.9619544654194826,0.001501337843391231,4759,6,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260729,True,0.9330900243309003,0.7993055555555556,0.8870874348581355,0.8731610049148637,0.8729664829731835,0.9691670951698147,0.0012977369145459486,4811,6,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260730,True,0.8514851485148515,0.6534391534391535,0.8969849246231156,0.8006364088590402,0.7987810663514106,0.9133091778759868,0.00189860325394776,3540,5,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260731,True,0.8952745849297573,0.4669421487603306,0.7639455782312925,0.70872077064046,0.700375786524806,0.8708508471129592,0.004214541702296413,4488,6,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260803,True,0.9272388059701493,0.5960648148148148,0.9673611111111111,0.8302215772986917,0.8156113362642953,0.9328383534093411,0.0015334527215786964,4776,6,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260804,True,0.842964824120603,0.7456427015250545,0.7937853107344632,0.7941309454600404,0.783066530984465,0.9098628183172021,0.002642563558849929,5286,9,efficientnet,hist_gradient_boosting,all,rgb,0.01
exp_20260805,True,0.84375,0.7054263565891473,0.9085648148148148,0.8192470571346541,0.8204596074093384,0.9428321468184734,0.002394832233598288,5004,6,efficientnet,hist_gradient_boosting,all,rgb,0.01
