representation,training_strategy,camera_group,condition,metric,estimate,lower,upper,experiment_count
dinov2,native_only,front,gamma_2p2_sensor_noise,balanced_misclassification_regret,0.006721595543518883,0.0029435342920281445,0.012037541513290137,3
dinov2,native_only,front,native,balanced_accuracy,0.7374338624338623,0.6428571428571428,0.8333333333333334,3
dinov2,native_only,front,native,balanced_misclassification_regret,0.005769221371668296,0.004132396045082218,0.0089297520033668,3
efficientnet,low_light_augmented,all,dark_60pct,balanced_accuracy,0.701168430335097,0.6428571428571429,0.7523148148148149,3
efficientnet,low_light_augmented,all,dark_60pct,balanced_misclassification_regret,0.006845717023862538,0.005785570904551584,0.008419286026339512,3
efficientnet,low_light_augmented,all,gamma_1p8,balanced_accuracy,0.7703924162257495,0.693121693121693,0.8125,3
efficientnet,low_light_augmented,all,gamma_1p8,balanced_misclassification_regret,0.005612614978803314,0.003193441620748141,0.008407639422896802,3
efficientnet,low_light_augmented,all,gamma_1p8_vignette,balanced_accuracy,0.7804232804232805,0.720899470899471,0.8148148148148149,3
efficientnet,low_light_augmented,all,gamma_1p8_vignette,balanced_misclassification_regret,0.0051856123518993725,0.003697032880490239,0.00785130305896158,3
efficientnet,low_light_augmented,all,gamma_2p2,balanced_accuracy,0.7875881834215167,0.7261904761904762,0.8194444444444443,3
efficientnet,low_light_augmented,all,gamma_2p2,balanced_misclassification_regret,0.005366439798894962,0.0027802669991226965,0.008537343323818898,3
efficientnet,low_light_augmented,all,gamma_2p2_sensor_noise,balanced_accuracy,0.7622354497354498,0.7566137566137566,0.7662037037037037,3
efficientnet,low_light_augmented,all,gamma_2p2_sensor_noise,balanced_misclassification_regret,0.005797921738411776,0.004946792095072768,0.006748057359489339,3
efficientnet,low_light_augmented,all,native,balanced_accuracy,0.7776675485008818,0.7380952380952381,0.8310185185185185,3
efficientnet,low_light_augmented,all,native,balanced_misclassification_regret,0.005151048442336432,0.00263034088586387,0.006868441709914688,3
efficientnet,low_light_augmented,front,dark_60pct,balanced_accuracy,0.7691798941798943,0.6825396825396824,0.8333333333333334,3
efficientnet,low_light_augmented,front,dark_60pct,balanced_misclassification_regret,0.007346441417195004,0.004132396045082218,0.012358692325353882,3
efficientnet,low_light_augmented,front,gamma_1p8,balanced_accuracy,0.7612433862433862,0.6587301587301587,0.8333333333333334,3
efficientnet,low_light_augmented,front,gamma_1p8,balanced_misclassification_regret,0.006890261202999472,0.004132396045082218,0.011505937299719113,3
efficientnet,low_light_augmented,front,gamma_1p8_vignette,balanced_accuracy,0.8597883597883597,0.8015873015873017,0.9444444444444443,3
efficientnet,low_light_augmented,front,gamma_1p8_vignette,balanced_misclassification_regret,0.005065823561271648,0.0016791090657419395,0.009385965572990786,3
efficientnet,low_light_augmented,front,gamma_2p2,balanced_accuracy,0.7414021164021163,0.6825396825396824,0.8333333333333334,3
efficientnet,low_light_augmented,front,gamma_2p2,balanced_misclassification_regret,0.007100862516825869,0.004132396045082218,0.011265690266563648,3
efficientnet,low_light_augmented,front,gamma_2p2_sensor_noise,balanced_accuracy,0.7923280423280423,0.626984126984127,0.9166666666666666,3
efficientnet,low_light_augmented,front,gamma_2p2_sensor_noise,balanced_misclassification_regret,0.005600101796468808,0.0010255897786754773,0.011642319565648727,3
efficientnet,low_light_augmented,front,native,balanced_accuracy,0.7870370370370371,0.7222222222222222,0.8333333333333334,3
efficientnet,low_light_augmented,front,native,balanced_misclassification_regret,0.006991991312465418,0.004132396045082218,0.012109554932724103,3
efficientnet,native_only,all,dark_60pct,balanced_accuracy,0.6840828924162258,0.6216931216931217,0.7222222222222222,3
efficientnet,native_only,all,dark_60pct,balanced_misclassification_regret,0.007464013640503488,0.006357385102608565,0.009446817317154979,3
efficientnet,native_only,all,gamma_1p8,balanced_accuracy,0.6937830687830688,0.5767195767195767,0.7962962962962963,3
efficientnet,native_only,all,gamma_1p8,balanced_misclassification_regret,0.007482389884775192,0.00363668459071591,0.010500601030798447,3
efficientnet,native_only,all,gamma_1p8_vignette,balanced_accuracy,0.6888227513227513,0.6798941798941799,0.6944444444444443,3
efficientnet,native_only,all,gamma_1p8_vignette,balanced_misclassification_regret,0.0067462197941736204,0.0063421173385160845,0.007035867855015529,3
efficientnet,native_only,all,gamma_2p2,balanced_accuracy,0.7076719576719576,0.6044973544973544,0.8101851851851851,3
efficientnet,native_only,all,gamma_2p2,balanced_misclassification_regret,0.007137703779897843,0.0032442271299426852,0.009859000176939626,3
efficientnet,native_only,all,gamma_2p2_sensor_noise,balanced_accuracy,0.7042548500881834,0.6891534391534392,0.7152777777777778,3
efficientnet,native_only,all,gamma_2p2_sensor_noise,balanced_misclassification_regret,0.0068099568565666265,0.006366585955874023,0.007063421650797289,3
efficientnet,native_only,all,native,balanced_accuracy,0.7860449735449736,0.7447089947089948,0.8078703703703703,3
efficientnet,native_only,all,native,balanced_misclassification_regret,0.004480798726303606,0.0032584675305241673,0.006650730834319882,3
efficientnet,native_only,front,dark_60pct,balanced_accuracy,0.751984126984127,0.6031746031746031,0.8333333333333334,3
efficientnet,native_only,front,dark_60pct,balanced_misclassification_regret,0.008542936867090118,0.004132396045082218,0.014286793185671979,3
efficientnet,native_only,front,gamma_1p8,balanced_accuracy,0.7414021164021163,0.6825396825396824,0.8333333333333334,3
efficientnet,native_only,front,gamma_1p8,balanced_misclassification_regret,0.007100862516825869,0.004132396045082218,0.011265690266563648,3
efficientnet,native_only,front,gamma_1p8_vignette,balanced_accuracy,0.8227513227513228,0.746031746031746,0.8888888888888888,3
efficientnet,native_only,front,gamma_1p8_vignette,balanced_misclassification_regret,0.005506066448953496,0.002422839668033994,0.009962963633744278,3
efficientnet,native_only,front,gamma_2p2,balanced_accuracy,0.7228835978835978,0.626984126984127,0.8333333333333334,3
efficientnet,native_only,front,gamma_2p2,balanced_misclassification_regret,0.007299968407591926,0.004132396045082218,0.011863007938861822,3
efficientnet,native_only,front,gamma_2p2_sensor_noise,balanced_accuracy,0.7076719576719577,0.42857142857142855,0.8611111111111112,3
efficientnet,native_only,front,gamma_2p2_sensor_noise,balanced_misclassification_regret,0.008220071183519567,0.0033646152255972957,0.017163202279879185,3
efficientnet,native_only,front,native,balanced_accuracy,0.7870370370370371,0.7222222222222222,0.8333333333333334,3
efficientnet,native_only,front,native,balanced_misclassification_regret,0.006446961609447177,0.004132396045082218,0.01047446582366938,3
dinov2,not_applicable,all,dark_60pct,cosine_similarity,0.9875014047963494,0.9863315803411025,0.9881770506122454,3
dinov2,not_applicable,all,gamma_1p8,cosine_similarity,0.9779143440676128,0.9771976483158622,0.979167465857636,3
