regret_threshold,camera_group,split,cost_state,image_count,cycle_count,local_image_count
0.02,front,train,near_optimal,3032,24,774
0.02,front,train,outside_candidate_domain,496,25,140
0.02,front,train,post_optimal,1145,15,302
0.02,front,train,pre_optimal,1357,25,198
0.02,front,validation,near_optimal,791,8,162
0.02,front,validation,outside_candidate_domain,160,8,40
0.02,front,validation,post_optimal,439,4,125
0.02,front,validation,pre_optimal,409,8,114
0.02,extreme,test,near_optimal,985,12,607
0.02,extreme,test,outside_candidate_domain,240,12,120
0.02,extreme,test,post_optimal,532,7,371
0.02,extreme,test,pre_optimal,788,12,220
0.02,extreme,train,near_optimal,2961,23,774
0.02,extreme,train,outside_candidate_domain,466,24,130
0.02,extreme,train,post_optimal,920,13,302
0.02,extreme,train,pre_optimal,1291,24,181
0.02,extreme,validation,near_optimal,791,8,162
0.02,extreme,validation,outside_candidate_domain,160,8,40
0.02,extreme,validation,post_optimal,439,4,125
0.02,extreme,validation,pre_optimal,409,8,114
0.02,top_pair,test,near_optimal,1970,12,1214
0.02,top_pair,test,outside_candidate_domain,480,12,240
0.02,top_pair,test,post_optimal,1066,7,744
0.02,top_pair,test,pre_optimal,1576,12,440
0.02,top_pair,train,near_optimal,6378,25,1548
0.02,top_pair,train,outside_candidate_domain,992,25,280
0.02,top_pair,train,post_optimal,2347,15,604
0.02,top_pair,train,pre_optimal,2714,25,396
0.02,top_pair,validation,near_optimal,1582,8,324
0.02,top_pair,validation,outside_candidate_domain,320,8,80
0.02,top_pair,validation,post_optimal,878,4,250
0.02,top_pair,validation,pre_optimal,818,8,228
0.02,left_pair,test,near_optimal,1970,12,1214
0.02,left_pair,test,outside_candidate_domain,480,12,240
0.02,left_pair,test,post_optimal,1066,7,744
0.02,left_pair,test,pre_optimal,1576,12,440
0.02,left_pair,train,near_optimal,6406,25,1548
0.02,left_pair,train,outside_candidate_domain,972,25,260
0.02,left_pair,train,post_optimal,2349,15,604
0.02,left_pair,train,pre_optimal,2644,25,323
0.02,left_pair,validation,near_optimal,1582,8,324
0.02,left_pair,validation,outside_candidate_domain,320,8,80
0.02,left_pair,validation,post_optimal,878,4,250
0.02,left_pair,validation,pre_optimal,818,8,228
0.02,all,test,near_optimal,5910,12,3642
0.02,all,test,outside_candidate_domain,1440,12,720
0.02,all,test,post_optimal,3197,7,2231
0.02,all,test,pre_optimal,4728,12,1320
0.02,all,train,near_optimal,18777,25,4644
0.02,all,train,outside_candidate_domain,2926,25,810
0.02,all,train,post_optimal,6761,15,1812
0.02,all,train,pre_optimal,8006,25,1098
0.02,all,validation,near_optimal,4746,8,972
0.02,all,validation,outside_candidate_domain,960,8,240
0.02,all,validation,post_optimal,2634,4,750
0.02,all,validation,pre_optimal,2454,8,684
0.05,top,test,near_optimal,1790,12,1154
0.05,top,test,outside_candidate_domain,240,12,120
0.05,top,test,post_optimal,48,3,12
0.05,top,test,pre_optimal,468,7,33
0.05,top,train,near_optimal,4669,25,1226
0.05,top,train,outside_candidate_domain,496,25,140
0.05,top,train,post_optimal,332,5,2
0.05,top,train,pre_optimal,756,21,46
0.05,top,validation,near_optimal,1320,8,395
0.05,top,validation,outside_candidate_domain,160,8,40
0.05,top,validation,post_optimal,155,1,0
0.05,top,validation,pre_optimal,164,7,6
0.05,top_close,test,near_optimal,1790,12,1154
0.05,top_close,test,outside_candidate_domain,240,12,120
0.05,top_close,test,post_optimal,48,3,12
0.05,top_close,test,pre_optimal,468,7,33
0.05,top_close,train,near_optimal,4591,25,1226
0.05,top_close,train,outside_candidate_domain,496,25,140
0.05,top_close,train,post_optimal,335,5,2
0.05,top_close,train,pre_optimal,756,21,46
0.05,top_close,validation,near_optimal,1320,8,395
0.05,top_close,validation,outside_candidate_domain,160,8,40
0.05,top_close,validation,post_optimal,155,1,0
0.05,top_close,validation,pre_optimal,164,7,6
0.05,left,test,near_optimal,1790,12,1154
0.05,left,test,outside_candidate_domain,240,12,120
0.05,left,test,post_optimal,48,3,12
0.05,left,test,pre_optimal,468,7,33
0.05,left,train,near_optimal,4617,25,1224
0.05,left,train,outside_candidate_domain,496,25,140
0.05,left,train,post_optimal,335,5,2
0.05,left,train,pre_optimal,729,21,19
0.05,left,validation,near_optimal,1320,8,395
0.05,left,validation,outside_candidate_domain,160,8,40
0.05,left,validation,post_optimal,155,1,0
0.05,left,validation,pre_optimal,164,7,6
0.05,left_close,test,near_optimal,1790,12,1154
0.05,left_close,test,outside_candidate_domain,240,12,120
0.05,left_close,test,post_optimal,48,3,12
0.05,left_close,test,pre_optimal,468,7,33
0.05,left_close,train,near_optimal,4657,25,1211
0.05,left_close,train,outside_candidate_domain,476,24,120
0.05,left_close,train,post_optimal,334,5,2
0.05,left_close,train,pre_optimal,727,20,17
0.05,left_close,validation,near_optimal,1320,8,395
0.05,left_close,validation,outside_candidate_domain,160,8,40
0.05,left_close,validation,post_optimal,155,1,0
0.05,left_close,validation,pre_optimal,164,7,6
0.05,front,test,near_optimal,1790,12,1154
0.05,front,test,outside_candidate_domain,240,12,120
0.05,front,test,post_optimal,48,3,12
0.05,front,test,pre_optimal,468,7,33
0.05,front,train,near_optimal,4471,25,1226
0.05,front,train,outside_candidate_domain,496,25,140
0.05,front,train,post_optimal,307,5,2
0.05,front,train,pre_optimal,756,21,46
0.05,front,validation,near_optimal,1320,8,395
0.05,front,validation,outside_candidate_domain,160,8,40
0.05,front,validation,post_optimal,155,1,0
0.05,front,validation,pre_optimal,164,7,6
0.05,extreme,test,near_optimal,1789,12,1153
0.05,extreme,test,outside_candidate_domain,240,12,120
0.05,extreme,test,post_optimal,48,3,12
0.05,extreme,test,pre_optimal,468,7,33
0.05,extreme,train,near_optimal,4248,24,1226
0.05,extreme,train,outside_candidate_domain,466,24,130
0.05,extreme,train,post_optimal,210,4,2
0.05,extreme,train,pre_optimal,714,20,29
0.05,extreme,validation,near_optimal,1320,8,395
0.05,extreme,validation,outside_candidate_domain,160,8,40
0.05,extreme,validation,post_optimal,155,1,0
0.05,extreme,validation,pre_optimal,164,7,6
0.05,top_pair,test,near_optimal,3580,12,2308
0.05,top_pair,test,outside_candidate_domain,480,12,240
0.05,top_pair,test,post_optimal,96,3,24
0.05,top_pair,test,pre_optimal,936,7,66
0.05,top_pair,train,near_optimal,9260,25,2452
0.05,top_pair,train,outside_candidate_domain,992,25,280
0.05,top_pair,train,post_optimal,667,5,4
0.05,top_pair,train,pre_optimal,1512,21,92
0.05,top_pair,validation,near_optimal,2640,8,790
0.05,top_pair,validation,outside_candidate_domain,320,8,80
0.05,top_pair,validation,post_optimal,310,1,0
0.05,top_pair,validation,pre_optimal,328,7,12
0.05,left_pair,test,near_optimal,3580,12,2308
0.05,left_pair,test,outside_candidate_domain,480,12,240
0.05,left_pair,test,post_optimal,96,3,24
0.05,left_pair,test,pre_optimal,936,7,66
0.05,left_pair,train,near_optimal,9274,25,2435
0.05,left_pair,train,outside_candidate_domain,972,25,260
0.05,left_pair,train,post_optimal,669,5,4
0.05,left_pair,train,pre_optimal,1456,21,36
0.05,left_pair,validation,near_optimal,2640,8,790
0.05,left_pair,validation,outside_candidate_domain,320,8,80
0.05,left_pair,validation,post_optimal,310,1,0
0.05,left_pair,validation,pre_optimal,328,7,12
0.05,all,test,near_optimal,10739,12,6923
0.05,all,test,outside_candidate_domain,1440,12,720
0.05,all,test,post_optimal,288,3,72
0.05,all,test,pre_optimal,2808,7,198
0.05,all,train,near_optimal,27253,25,7339
0.05,all,train,outside_candidate_domain,2926,25,810
0.05,all,train,post_optimal,1853,5,12
0.05,all,train,pre_optimal,4438,21,203
0.05,all,validation,near_optimal,7920,8,2370
0.05,all,validation,outside_candidate_domain,960,8,240
0.05,all,validation,post_optimal,930,1,0
0.05,all,validation,pre_optimal,984,7,36
0.1,top,test,near_optimal,2019,12,1199
0.1,top,test,outside_candidate_domain,240,12,120
0.1,top,test,pre_optimal,287,6,0
0.1,top,train,near_optimal,5351,25,1261
0.1,top,train,outside_candidate_domain,496,25,140
0.1,top,train,post_optimal,14,1,0
0.1,top,train,pre_optimal,392,12,13
0.1,top,validation,near_optimal,1508,8,401
0.1,top,validation,outside_candidate_domain,160,8,40
0.1,top,validation,post_optimal,73,1,0
0.1,top,validation,pre_optimal,58,2,0
0.1,top_close,test,near_optimal,2019,12,1199
0.1,top_close,test,outside_candidate_domain,240,12,120
0.1,top_close,test,pre_optimal,287,6,0
0.1,top_close,train,near_optimal,5276,25,1261
0.1,top_close,train,outside_candidate_domain,496,25,140
0.1,top_close,train,post_optimal,14,1,0
0.1,top_close,train,pre_optimal,392,12,13
0.1,top_close,validation,near_optimal,1508,8,401
0.1,top_close,validation,outside_candidate_domain,160,8,40
0.1,top_close,validation,post_optimal,73,1,0
0.1,top_close,validation,pre_optimal,58,2,0
0.1,left,test,near_optimal,2019,12,1199
0.1,left,test,outside_candidate_domain,240,12,120
0.1,left,test,pre_optimal,287,6,0
0.1,left,train,near_optimal,5286,25,1243
0.1,left,train,outside_candidate_domain,496,25,140
0.1,left,train,post_optimal,14,1,0
0.1,left,train,pre_optimal,381,12,2
0.1,left,validation,near_optimal,1508,8,401
0.1,left,validation,outside_candidate_domain,160,8,40
0.1,left,validation,post_optimal,73,1,0
0.1,left,validation,pre_optimal,58,2,0
0.1,left_close,test,near_optimal,2019,12,1199
0.1,left_close,test,outside_candidate_domain,240,12,120
0.1,left_close,test,pre_optimal,287,6,0
0.1,left_close,train,near_optimal,5325,25,1230
0.1,left_close,train,outside_candidate_domain,476,24,120
0.1,left_close,train,post_optimal,14,1,0
0.1,left_close,train,pre_optimal,379,11,0
0.1,left_close,validation,near_optimal,1508,8,401
0.1,left_close,validation,outside_candidate_domain,160,8,40
0.1,left_close,validation,post_optimal,73,1,0
0.1,left_close,validation,pre_optimal,58,2,0
0.1,front,test,near_optimal,2019,12,1199
0.1,front,test,outside_candidate_domain,240,12,120
0.1,front,test,pre_optimal,287,6,0
0.1,front,train,near_optimal,5128,25,1261
0.1,front,train,outside_candidate_domain,496,25,140
0.1,front,train,post_optimal,14,1,0
0.1,front,train,pre_optimal,392,12,13
0.1,front,validation,near_optimal,1508,8,401
0.1,front,validation,outside_candidate_domain,160,8,40
0.1,front,validation,post_optimal,73,1,0
0.1,front,validation,pre_optimal,58,2,0
0.1,extreme,test,near_optimal,2018,12,1198
0.1,extreme,test,outside_candidate_domain,240,12,120
0.1,extreme,test,pre_optimal,287,6,0
0.1,extreme,train,near_optimal,4790,24,1257
0.1,extreme,train,outside_candidate_domain,466,24,130
0.1,extreme,train,post_optimal,14,1,0
0.1,extreme,train,pre_optimal,368,10,0
0.1,extreme,validation,near_optimal,1508,8,401
0.1,extreme,validation,outside_candidate_domain,160,8,40
0.1,extreme,validation,post_optimal,73,1,0
0.1,extreme,validation,pre_optimal,58,2,0
0.1,top_pair,test,near_optimal,4038,12,2398
0.1,top_pair,test,outside_candidate_domain,480,12,240
0.1,top_pair,test,pre_optimal,574,6,0
0.1,top_pair,train,near_optimal,10627,25,2522
0.1,top_pair,train,outside_candidate_domain,992,25,280
0.1,top_pair,train,post_optimal,28,1,0
0.1,top_pair,train,pre_optimal,784,12,26
0.1,top_pair,validation,near_optimal,3016,8,802
0.1,top_pair,validation,outside_candidate_domain,320,8,80
0.1,top_pair,validation,post_optimal,146,1,0
0.1,top_pair,validation,pre_optimal,116,2,0
0.1,left_pair,test,near_optimal,4038,12,2398
0.1,left_pair,test,outside_candidate_domain,480,12,240
0.1,left_pair,test,pre_optimal,574,6,0
0.1,left_pair,train,near_optimal,10611,25,2473
0.1,left_pair,train,outside_candidate_domain,972,25,260
0.1,left_pair,train,post_optimal,28,1,0
0.1,left_pair,train,pre_optimal,760,12,2
0.1,left_pair,validation,near_optimal,3016,8,802
0.1,left_pair,validation,outside_candidate_domain,320,8,80
0.1,left_pair,validation,post_optimal,146,1,0
0.1,left_pair,validation,pre_optimal,116,2,0
0.1,all,test,near_optimal,12113,12,7193
0.1,all,test,outside_candidate_domain,1440,12,720
0.1,all,test,pre_optimal,1722,6,0
0.1,all,train,near_optimal,31156,25,7513
0.1,all,train,outside_candidate_domain,2926,25,810
0.1,all,train,post_optimal,84,1,0
0.1,all,train,pre_optimal,2304,12,41
0.1,all,validation,near_optimal,9048,8,2406
0.1,all,validation,outside_candidate_domain,960,8,240
0.1,all,validation,post_optimal,438,1,0
0.1,all,validation,pre_optimal,348,2,0
