representation,condition,experiment_id,cycle_name,camera_role,cosine_similarity
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left,0.9841814446662474
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left_close,0.9867250884510247
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left_close,0.9852170870889491
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,left_close,0.9866255881184647
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top,0.9932713221551773
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top,0.99514734431093
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top,0.9955768706721397
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top_close,0.9819749550084673
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top_close,0.9848262429970993
dinov2,dark_60pct,exp_20260730,frost_cycle_000064,top_close,0.9877357271023292
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,extreme,0.9937810595978712
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,extreme,0.9938635811232037
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,extreme,0.9949064046852606
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,front,0.9908156190988638
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,front,0.9921533672852342
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,front,0.9695481599629294
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,left,0.9848173637165692
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,left,0.97415481363407
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,left,0.9810072378955375
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,left_close,0.9913839586468559
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,left_close,0.9850727837364229
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,left_close,0.9746940332118127
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,top,0.9943119732341262
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,top,0.9920589781445509
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,top,0.9827692799293353
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,top_close,0.9833020054552907
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,top_close,0.9780764509854739
dinov2,dark_60pct,exp_20260730,frost_cycle_000065,top_close,0.97575567996079
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,extreme,0.9936638762906495
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,extreme,0.9947334698940444
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,extreme,0.9931053080764063
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,front,0.9936482568786235
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,front,0.9739217672540544
