representation,training_strategy,camera_group,condition,held_out_experiment,balanced_accuracy,balanced_misclassification_regret,test_image_count,train_image_count
efficientnet,low_light_augmented,front,gamma_2p2_sensor_noise,exp_20260731,0.626984126984127,0.011642319565648727,30,1334
efficientnet,low_light_augmented,front,gamma_1p8_vignette,exp_20260731,0.8015873015873016,0.009385965572990786,30,1334
efficientnet,native_only,all,native,exp_20260729,0.8055555555555556,0.00353319781406677,54,9551
efficientnet,native_only,all,dark_60pct,exp_20260729,0.7083333333333333,0.006357385102608566,54,9551
efficientnet,native_only,all,gamma_1p8,exp_20260729,0.7083333333333333,0.008309884032811217,54,9551
efficientnet,native_only,all,gamma_2p2,exp_20260729,0.7083333333333333,0.008309884032811217,54,9551
efficientnet,native_only,all,gamma_2p2_sensor_noise,exp_20260729,0.7083333333333333,0.00706342165079729,54,9551
efficientnet,native_only,all,gamma_1p8_vignette,exp_20260729,0.6944444444444444,0.0063421173385160845,54,9551
efficientnet,low_light_augmented,all,native,exp_20260729,0.7638888888888888,0.00595436273123074,54,10631
efficientnet,low_light_augmented,all,dark_60pct,exp_20260729,0.7083333333333333,0.006332294140696519,54,10631
efficientnet,low_light_augmented,all,gamma_1p8,exp_20260729,0.8055555555555556,0.005236763892764997,54,10631
efficientnet,low_light_augmented,all,gamma_2p2,exp_20260729,0.8194444444444444,0.004781709073743294,54,10631
efficientnet,low_light_augmented,all,gamma_2p2_sensor_noise,exp_20260729,0.7638888888888888,0.005698915760673223,54,10631
efficientnet,low_light_augmented,all,gamma_1p8_vignette,exp_20260729,0.8055555555555556,0.004008501116246298,54,10631
efficientnet,native_only,all,native,exp_20260730,0.8078703703703703,0.0032584675305241673,180,6318
efficientnet,native_only,all,dark_60pct,exp_20260730,0.7222222222222222,0.006587838501746919,180,6318
efficientnet,native_only,all,gamma_1p8,exp_20260730,0.7962962962962963,0.0036366845907159105,180,6318
efficientnet,native_only,all,gamma_2p2,exp_20260730,0.8101851851851851,0.0032442271299426852,180,6318
efficientnet,native_only,all,gamma_2p2_sensor_noise,exp_20260730,0.7152777777777778,0.006999862963028568,180,6318
efficientnet,native_only,all,gamma_1p8_vignette,exp_20260730,0.6921296296296297,0.006860674188989247,180,6318
efficientnet,low_light_augmented,all,native,exp_20260730,0.8310185185185185,0.00263034088586387,180,7020
efficientnet,low_light_augmented,all,dark_60pct,exp_20260730,0.7523148148148149,0.005785570904551584,180,7020
efficientnet,low_light_augmented,all,gamma_1p8,exp_20260730,0.8125,0.0031934416207481412,180,7020
efficientnet,low_light_augmented,all,gamma_2p2,exp_20260730,0.8171296296296295,0.0027802669991226965,180,7020
efficientnet,low_light_augmented,all,gamma_2p2_sensor_noise,exp_20260730,0.7662037037037037,0.004946792095072768,180,7020
efficientnet,low_light_augmented,all,gamma_1p8_vignette,exp_20260730,0.8148148148148149,0.003697032880490239,180,7020
efficientnet,native_only,all,native,exp_20260731,0.7447089947089947,0.006650730834319883,180,7301
efficientnet,native_only,all,dark_60pct,exp_20260731,0.6216931216931217,0.009446817317154979,180,7301
efficientnet,native_only,all,gamma_1p8,exp_20260731,0.5767195767195767,0.010500601030798447,180,7301
efficientnet,native_only,all,gamma_2p2,exp_20260731,0.6044973544973544,0.009859000176939626,180,7301
efficientnet,native_only,all,gamma_2p2_sensor_noise,exp_20260731,0.6891534391534392,0.006366585955874023,180,7301
efficientnet,native_only,all,gamma_1p8_vignette,exp_20260731,0.6798941798941799,0.00703586785501553,180,7301
efficientnet,low_light_augmented,all,native,exp_20260731,0.7380952380952381,0.006868441709914687,180,8003
efficientnet,low_light_augmented,all,dark_60pct,exp_20260731,0.6428571428571429,0.008419286026339512,180,8003
efficientnet,low_light_augmented,all,gamma_1p8,exp_20260731,0.693121693121693,0.008407639422896802,180,8003
efficientnet,low_light_augmented,all,gamma_2p2,exp_20260731,0.7261904761904762,0.008537343323818898,180,8003
efficientnet,low_light_augmented,all,gamma_2p2_sensor_noise,exp_20260731,0.7566137566137566,0.006748057359489339,180,8003
efficientnet,low_light_augmented,all,gamma_1p8_vignette,exp_20260731,0.7208994708994709,0.00785130305896158,180,8003
