experiment_id,evaluable,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,camera_group,modality,regret_threshold
exp_20260721,True,1.0,1.0,1.0,0.0,24,2,top,rgb_time,0.05
exp_20260723,True,0.9166666666666667,0.9493908153701969,1.0,0.004429302831543188,54,6,top,rgb_time,0.05
exp_20260724,True,1.0,1.0,1.0,0.0,36,4,top,rgb_time,0.05
exp_20260727,False,,,,,16,4,top,rgb_time,0.05
exp_20260728,False,,,,,15,6,top,rgb_time,0.05
exp_20260729,False,,,,,18,5,top,rgb_time,0.05
exp_20260730,True,0.75,0.6666666666666666,0.5,0.013231030490727274,3,2,top,rgb_time,0.05
exp_20260731,False,,,,,13,4,top,rgb_time,0.05
exp_20260715,False,,,,,3,1,top,rgb,0.1
exp_20260717,False,,,,,4,1,top,rgb,0.1
exp_20260720,True,1.0,1.0,1.0,0.0,6,1,top,rgb,0.1
exp_20260721,True,0.875,0.9047619047619047,1.0,0.0142892897804426,14,2,top,rgb,0.1
exp_20260723,False,,,,,34,6,top,rgb,0.1
exp_20260724,False,,,,,22,4,top,rgb,0.1
exp_20260727,False,,,,,3,3,top,rgb,0.1
exp_20260728,False,,,,,1,1,top,rgb,0.1
exp_20260731,False,,,,,3,1,top,rgb,0.1
exp_20260715,False,,,,,3,1,top,time,0.1
exp_20260717,False,,,,,4,1,top,time,0.1
exp_20260720,True,1.0,1.0,1.0,0.0,6,1,top,time,0.1
exp_20260721,True,0.875,0.9047619047619047,1.0,0.013367412725375187,14,2,top,time,0.1
exp_20260723,False,,,,,34,6,top,time,0.1
exp_20260724,False,,,,,22,4,top,time,0.1
exp_20260727,False,,,,,3,3,top,time,0.1
exp_20260728,False,,,,,1,1,top,time,0.1
exp_20260731,False,,,,,3,1,top,time,0.1
exp_20260715,False,,,,,3,1,top,rgb_time,0.1
exp_20260717,False,,,,,4,1,top,rgb_time,0.1
exp_20260720,True,1.0,1.0,1.0,0.0,6,1,top,rgb_time,0.1
exp_20260721,True,0.875,0.9047619047619047,1.0,0.0142892897804426,14,2,top,rgb_time,0.1
exp_20260723,False,,,,,34,6,top,rgb_time,0.1
exp_20260724,False,,,,,22,4,top,rgb_time,0.1
exp_20260727,False,,,,,3,3,top,rgb_time,0.1
exp_20260728,False,,,,,1,1,top,rgb_time,0.1
exp_20260731,False,,,,,3,1,top,rgb_time,0.1
exp_20260715,True,1.0,1.0,1.0,0.0,24,1,top_close,rgb,0.01
exp_20260717,True,0.5,0.3333333333333333,0.5,0.023002229936077225,24,1,top_close,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,top_close,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,top_close,rgb,0.01
exp_20260723,True,0.9166666666666666,0.899665551839465,0.9861111111111112,0.00143734458507222,108,6,top_close,rgb,0.01
exp_20260724,True,0.9375,0.9372549019607843,0.9973958333333334,0.0008658338862633687,96,4,top_close,rgb,0.01
exp_20260727,True,0.925,0.9039039039039038,0.9490740740740741,0.0008730975026837629,96,5,top_close,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9580439814814815,0.00039383945755213875,120,6,top_close,rgb,0.01
exp_20260729,True,0.9305555555555556,0.9155167558434244,0.9186921296296297,0.0015251326206994994,120,6,top_close,rgb,0.01
exp_20260730,True,0.8819444444444444,0.8578496272036792,0.90625,0.0030190336602429323,120,6,top_close,rgb,0.01
exp_20260731,True,0.9166666666666667,0.8731501057082452,0.9272486772486773,0.0013338400587424581,120,7,top_close,rgb,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,1.0,0.0004217722526858483,24,1,top_close,time,0.01
exp_20260717,True,1.0,1.0,1.0,0.0,24,1,top_close,time,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,top_close,time,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,top_close,time,0.01
exp_20260723,True,0.9027777777777778,0.8647584973166369,0.9938271604938271,0.0032256393172185546,108,6,top_close,time,0.01
exp_20260724,True,0.7708333333333333,0.7581310123683005,0.8680555555555555,0.008619292082361363,96,4,top_close,time,0.01
exp_20260727,True,0.8583333333333334,0.8563370553700933,0.9435185185185185,0.0016068479568487008,96,5,top_close,time,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9406828703703703,0.00039383945755213875,120,6,top_close,time,0.01
exp_20260729,True,0.9409722222222222,0.9317988064791134,0.9887152777777778,0.001259789385936127,120,6,top_close,time,0.01
exp_20260730,True,0.8506944444444444,0.8391534391534392,0.9230324074074074,0.003170426502841844,120,6,top_close,time,0.01
exp_20260731,True,0.9404761904761905,0.9073788206236493,0.9659391534391534,0.0008936361354937041,120,7,top_close,time,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,24,1,top_close,rgb_time,0.01
exp_20260717,True,0.5,0.3333333333333333,0.5,0.023002229936077225,24,1,top_close,rgb_time,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,top_close,rgb_time,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,top_close,rgb_time,0.01
exp_20260723,True,0.9236111111111112,0.909184340839017,0.9880401234567902,0.0011468674550869742,108,6,top_close,rgb_time,0.01
exp_20260724,True,0.9895833333333333,0.9895822029300054,1.0,0.00010472764556787967,96,4,top_close,rgb_time,0.01
exp_20260727,True,0.925,0.9039039039039038,0.9560185185185186,0.0008730975026837629,96,5,top_close,rgb_time,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9809027777777778,0.00039383945755213875,120,6,top_close,rgb_time,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.9473379629629629,0.0014014032742416832,120,6,top_close,rgb_time,0.01
exp_20260730,True,0.8819444444444444,0.8578496272036792,0.9100115740740741,0.0030190336602429323,120,6,top_close,rgb_time,0.01
exp_20260731,True,0.9166666666666667,0.8731501057082452,0.921957671957672,0.0013338400587424581,120,7,top_close,rgb_time,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,21,1,top_close,rgb,0.02
exp_20260717,True,0.5,0.3333333333333333,0.5,0.026115335816726815,20,1,top_close,rgb,0.02
exp_20260720,True,1.0,1.0,1.0,0.0,21,1,top_close,rgb,0.02
exp_20260721,True,1.0,1.0,1.0,0.0,32,2,top_close,rgb,0.02
exp_20260723,True,0.9609375,0.9373019153920352,1.0,0.0014392452265291167,91,6,top_close,rgb,0.02
exp_20260724,True,1.0,1.0,1.0,0.0,64,4,top_close,rgb,0.02
exp_20260727,True,1.0,1.0,1.0,0.0,39,5,top_close,rgb,0.02
exp_20260728,True,1.0,1.0,1.0,0.0,72,6,top_close,rgb,0.02
exp_20260729,True,0.9509803921568627,0.9318539227677791,0.9665940450254176,0.0013893369028592118,78,6,top_close,rgb,0.02
exp_20260730,True,0.8947368421052632,0.8885448916408669,0.9388544891640866,0.004122139810191871,72,6,top_close,rgb,0.02
exp_20260731,True,0.9795918367346939,0.9734543010752688,1.0,0.00046628352289890306,79,7,top_close,rgb,0.02
exp_20260715,True,1.0,1.0,1.0,0.0,21,1,top_close,time,0.02
exp_20260717,True,1.0,1.0,1.0,0.0,20,1,top_close,time,0.02
exp_20260720,True,1.0,1.0,1.0,0.0,21,1,top_close,time,0.02
exp_20260721,True,1.0,1.0,1.0,0.0,32,2,top_close,time,0.02
exp_20260723,True,0.953125,0.9254098360655738,1.0,0.0017553577270760787,91,6,top_close,time,0.02
exp_20260724,True,0.8658536585365854,0.8260439831974302,0.9109225874867444,0.005548650664977313,64,4,top_close,time,0.02
exp_20260727,True,1.0,1.0,1.0,0.0,39,5,top_close,time,0.02
exp_20260728,True,1.0,1.0,1.0,0.0,72,6,top_close,time,0.02
exp_20260729,True,0.9520697167755992,0.9442857142857143,0.981118373275236,0.0012882058326544102,78,6,top_close,time,0.02
exp_20260730,True,0.8753869969040248,0.8747826086956522,0.9295665634674922,0.003985087332421269,72,6,top_close,time,0.02
exp_20260731,True,1.0,1.0,1.0,0.0,79,7,top_close,time,0.02
exp_20260715,True,1.0,1.0,1.0,0.0,21,1,top_close,rgb_time,0.02
exp_20260717,True,0.5,0.3333333333333333,0.5,0.026115335816726815,20,1,top_close,rgb_time,0.02
exp_20260720,True,1.0,1.0,1.0,0.0,21,1,top_close,rgb_time,0.02
exp_20260721,True,1.0,1.0,1.0,0.0,32,2,top_close,rgb_time,0.02
exp_20260723,True,0.9609375,0.9373019153920352,1.0,0.0014392452265291167,91,6,top_close,rgb_time,0.02
exp_20260724,True,1.0,1.0,1.0,0.0,64,4,top_close,rgb_time,0.02
exp_20260727,True,1.0,1.0,1.0,0.0,39,5,top_close,rgb_time,0.02
exp_20260728,True,1.0,1.0,1.0,0.0,72,6,top_close,rgb_time,0.02
exp_20260729,True,0.9509803921568627,0.9318539227677791,0.9876543209876544,0.0013893369028592118,78,6,top_close,rgb_time,0.02
exp_20260730,True,0.8947368421052632,0.8885448916408669,0.9419504643962848,0.004122139810191871,72,6,top_close,rgb_time,0.02
exp_20260731,True,0.9897959183673469,0.9866486395132669,1.0,0.00021830543986127578,79,7,top_close,rgb_time,0.02
exp_20260715,True,1.0,1.0,1.0,0.0,10,1,top_close,rgb,0.05
exp_20260717,True,0.5,0.3684210526315789,0.5,0.034853582415128516,12,1,top_close,rgb,0.05
exp_20260720,True,1.0,1.0,1.0,0.0,14,1,top_close,rgb,0.05
exp_20260721,True,1.0,1.0,1.0,0.0,24,2,top_close,rgb,0.05
exp_20260723,True,1.0,1.0,1.0,0.0,54,6,top_close,rgb,0.05
exp_20260724,True,1.0,1.0,1.0,0.0,36,4,top_close,rgb,0.05
exp_20260727,False,,,,,16,4,top_close,rgb,0.05
exp_20260728,False,,,,,15,6,top_close,rgb,0.05
exp_20260729,False,,,,,18,5,top_close,rgb,0.05
exp_20260730,True,0.75,0.6666666666666666,1.0,0.013231030490727274,3,2,top_close,rgb,0.05
exp_20260731,False,,,,,13,4,top_close,rgb,0.05
exp_20260715,True,1.0,1.0,1.0,0.0,10,1,top_close,time,0.05
exp_20260717,True,1.0,1.0,1.0,0.0,12,1,top_close,time,0.05
exp_20260720,True,1.0,1.0,1.0,0.0,14,1,top_close,time,0.05
exp_20260721,True,1.0,1.0,1.0,0.0,24,2,top_close,time,0.05
exp_20260723,True,1.0,1.0,1.0,0.0,54,6,top_close,time,0.05
exp_20260724,True,0.984375,0.9365079365079365,1.0,0.0008321279936023319,36,4,top_close,time,0.05
exp_20260727,False,,,,,16,4,top_close,time,0.05
exp_20260728,False,,,,,15,6,top_close,time,0.05
exp_20260729,False,,,,,18,5,top_close,time,0.05
exp_20260730,True,0.5,0.4,1.0,0.025673895198431832,3,2,top_close,time,0.05
exp_20260731,False,,,,,13,4,top_close,time,0.05
exp_20260715,True,1.0,1.0,1.0,0.0,10,1,top_close,rgb_time,0.05
exp_20260717,True,0.5,0.3684210526315789,0.5,0.034853582415128516,12,1,top_close,rgb_time,0.05
exp_20260720,True,1.0,1.0,1.0,0.0,14,1,top_close,rgb_time,0.05
exp_20260721,True,1.0,1.0,1.0,0.0,24,2,top_close,rgb_time,0.05
exp_20260723,True,1.0,1.0,1.0,0.0,54,6,top_close,rgb_time,0.05
exp_20260724,True,1.0,1.0,1.0,0.0,36,4,top_close,rgb_time,0.05
exp_20260727,False,,,,,16,4,top_close,rgb_time,0.05
exp_20260728,False,,,,,15,6,top_close,rgb_time,0.05
exp_20260729,False,,,,,18,5,top_close,rgb_time,0.05
exp_20260730,True,0.75,0.6666666666666666,1.0,0.013231030490727274,3,2,top_close,rgb_time,0.05
