camera_group,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
top_close,time,0.05,0.24211711711711711,0.2000623247117482,balanced_accuracy,0.9263392857142857,0.7834821428571429,1.0,11,7
top_close,time,0.05,0.24211711711711711,0.2000623247117482,macro_f1,0.9052154195011338,0.7337868480725624,1.0,11,7
top_close,time,0.05,0.24211711711711711,0.2000623247117482,auroc,1.0,1.0,1.0,11,7
top_close,time,0.05,0.24211711711711711,0.2000623247117482,balanced_misclassification_regret,0.003786574741719166,0.0,0.011121973369842547,11,7
top_close,rgb_time,0.05,0.24211711711711711,0.2000623247117482,balanced_accuracy,0.8928571428571429,0.75,1.0,11,7
top_close,rgb_time,0.05,0.24211711711711711,0.2000623247117482,macro_f1,0.862155388471178,0.6817042606516289,1.0,11,7
top_close,rgb_time,0.05,0.24211711711711711,0.2000623247117482,auroc,0.9285714285714286,0.7857142857142857,1.0,11,7
top_close,rgb_time,0.05,0.24211711711711711,0.2000623247117482,balanced_misclassification_regret,0.006869230415122256,0.0,0.01682739681944469,11,7
top_close,rgb,0.1,0.10247747747747747,0.08559260413420589,balanced_accuracy,1.0,1.0,1.0,9,2
top_close,rgb,0.1,0.10247747747747747,0.08559260413420589,macro_f1,1.0,1.0,1.0,9,2
top_close,rgb,0.1,0.10247747747747747,0.08559260413420589,auroc,1.0,1.0,1.0,9,2
top_close,rgb,0.1,0.10247747747747747,0.08559260413420589,balanced_misclassification_regret,0.0,0.0,0.0,9,2
top_close,time,0.1,0.10247747747747747,0.08559260413420589,balanced_accuracy,0.9375,0.875,1.0,9,2
top_close,time,0.1,0.10247747747747747,0.08559260413420589,macro_f1,0.9523809523809523,0.9047619047619047,1.0,9,2
top_close,time,0.1,0.10247747747747747,0.08559260413420589,auroc,1.0,1.0,1.0,9,2
top_close,time,0.1,0.10247747747747747,0.08559260413420589,balanced_misclassification_regret,0.006683706362687594,0.0,0.013367412725375187,9,2
top_close,rgb_time,0.1,0.10247747747747747,0.08559260413420589,balanced_accuracy,1.0,1.0,1.0,9,2
top_close,rgb_time,0.1,0.10247747747747747,0.08559260413420589,macro_f1,1.0,1.0,1.0,9,2
top_close,rgb_time,0.1,0.10247747747747747,0.08559260413420589,auroc,1.0,1.0,1.0,9,2
top_close,rgb_time,0.1,0.10247747747747747,0.08559260413420589,balanced_misclassification_regret,0.0,0.0,0.0,9,2
left,rgb,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9485299422799423,0.9274711399711401,0.9688866341991342,11,11
left,rgb,0.01,1.0,0.6543735715769791,macro_f1,0.9390462004052048,0.914203368719497,0.9632093671290117,11,11
left,rgb,0.01,1.0,0.6543735715769791,auroc,0.9746726942039442,0.9516073589315777,0.9932924388979076,11,11
left,rgb,0.01,1.0,0.6543735715769791,balanced_misclassification_regret,0.0012057641324356484,0.0006079675652783295,0.001847080815656117,11,11
left,time,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9271013708513707,0.8861052489177489,0.9641515602453103,11,11
left,time,0.01,1.0,0.6543735715769791,macro_f1,0.9168368920005675,0.8742698805832403,0.9568962261669242,11,11
left,time,0.01,1.0,0.6543735715769791,auroc,0.966949755491422,0.9421906941438192,0.9874927348885681,11,11
left,time,0.01,1.0,0.6543735715769791,balanced_misclassification_regret,0.0017524631475813025,0.0006004095846282378,0.003298020773747343,11,11
left,rgb_time,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9487103174603174,0.9264515692640694,0.9705537518037517,11,11
left,rgb_time,0.01,1.0,0.6543735715769791,macro_f1,0.9384437025805511,0.9124026356850902,0.9641944701126475,11,11
left,rgb_time,0.01,1.0,0.6543735715769791,auroc,0.9782947280343115,0.95668702150473,0.9947728775853776,11,11
left,rgb_time,0.01,1.0,0.6543735715769791,balanced_misclassification_regret,0.0008795491872806376,0.0004180813956364446,0.0014010720107883376,11,11
left,rgb,0.02,0.6632882882882883,0.4853521712029919,balanced_accuracy,0.975312758762752,0.9471410157572495,1.0,11,11
left,rgb,0.02,0.6632882882882883,0.4853521712029919,macro_f1,0.9751026622806019,0.9485413974584673,1.0,11,11
left,rgb,0.02,0.6632882882882883,0.4853521712029919,auroc,0.9922140218837846,0.9794105485539956,1.0,11,11
left,rgb,0.02,0.6632882882882883,0.4853521712029919,balanced_misclassification_regret,0.0007512030520378999,0.0,0.0015913809334037027,11,11
left,time,0.02,0.6632882882882883,0.4853521712029919,balanced_accuracy,0.9670658700747711,0.9341206877487838,0.9956427015250544,11,11
left,time,0.02,0.6632882882882883,0.4853521712029919,macro_f1,0.9597905954410489,0.9206960156285494,0.9932190760059613,11,11
left,time,0.02,0.6632882882882883,0.4853521712029919,auroc,0.9827518961879801,0.9610617679334869,1.0,11,11
left,time,0.02,0.6632882882882883,0.4853521712029919,balanced_misclassification_regret,0.0011968083345117763,0.00015957797518873442,0.0024657417017619043,11,11
left,rgb_time,0.02,0.6632882882882883,0.4853521712029919,balanced_accuracy,0.975312758762752,0.9471410157572495,1.0,11,11
left,rgb_time,0.02,0.6632882882882883,0.4853521712029919,macro_f1,0.9751026622806019,0.9485413974584673,1.0,11,11
left,rgb_time,0.02,0.6632882882882883,0.4853521712029919,auroc,0.9932477455921617,0.9822702320571033,1.0,11,11
