regret_threshold,camera_group,split,cost_state,image_count,cycle_count,local_image_count
0.05,left_close,test,near_optimal,2110,13,1002
0.05,left_close,test,post_optimal,207,3,0
0.05,left_close,test,pre_optimal,494,13,244
0.05,left_close,train,near_optimal,4747,32,2746
0.05,left_close,train,post_optimal,779,12,119
0.05,left_close,train,pre_optimal,1062,29,456
0.05,left_close,validation,near_optimal,1881,16,943
0.05,left_close,validation,post_optimal,85,1,0
0.05,left_close,validation,pre_optimal,477,16,270
0.05,front,test,near_optimal,2110,13,1002
0.05,front,test,post_optimal,207,3,0
0.05,front,test,pre_optimal,494,13,244
0.05,front,train,near_optimal,4747,32,2746
0.05,front,train,post_optimal,752,12,119
0.05,front,train,pre_optimal,1062,29,456
0.05,front,validation,near_optimal,1790,16,943
0.05,front,validation,post_optimal,85,1,0
0.05,front,validation,pre_optimal,477,16,270
0.05,extreme,test,near_optimal,2110,13,1002
0.05,extreme,test,post_optimal,207,3,0
0.05,extreme,test,pre_optimal,494,13,244
0.05,extreme,train,near_optimal,4556,30,2746
0.05,extreme,train,post_optimal,553,11,118
0.05,extreme,train,pre_optimal,936,26,456
0.05,extreme,validation,near_optimal,1790,16,943
0.05,extreme,validation,post_optimal,85,1,0
0.05,extreme,validation,pre_optimal,477,16,270
0.05,top_pair,test,near_optimal,4220,13,2004
0.05,top_pair,test,post_optimal,414,3,0
0.05,top_pair,test,pre_optimal,988,13,488
0.05,top_pair,train,near_optimal,9495,33,5492
0.05,top_pair,train,post_optimal,1557,12,238
0.05,top_pair,train,pre_optimal,2124,29,912
0.05,top_pair,validation,near_optimal,3694,16,1886
0.05,top_pair,validation,post_optimal,170,1,0
0.05,top_pair,validation,pre_optimal,954,16,540
0.05,left_pair,test,near_optimal,4220,13,2004
0.05,left_pair,test,post_optimal,414,3,0
0.05,left_pair,test,pre_optimal,988,13,488
0.05,left_pair,train,near_optimal,9494,32,5492
0.05,left_pair,train,post_optimal,1559,12,238
0.05,left_pair,train,pre_optimal,2124,29,912
0.05,left_pair,validation,near_optimal,3757,16,1886
0.05,left_pair,validation,post_optimal,170,1,0
0.05,left_pair,validation,pre_optimal,954,16,540
0.05,all,test,near_optimal,12660,13,6012
0.05,all,test,post_optimal,1242,3,0
0.05,all,test,pre_optimal,2964,13,1464
0.05,all,train,near_optimal,28292,33,16476
0.05,all,train,post_optimal,4421,12,713
0.05,all,train,pre_optimal,6246,29,2736
0.05,all,validation,near_optimal,11031,16,5658
0.05,all,validation,post_optimal,510,1,0
0.05,all,validation,pre_optimal,2862,16,1620
0.1,top,test,near_optimal,2368,13,1086
0.1,top,test,post_optimal,124,1,0
0.1,top,test,pre_optimal,319,13,160
0.1,top,train,near_optimal,5654,33,3049
0.1,top,train,post_optimal,241,4,0
0.1,top,train,pre_optimal,692,29,272
0.1,top,validation,near_optimal,2155,16,1050
